Country Name,Country Code,Year,Value,Disaggregation
"Korea, Rep.",KOR,2023,40.96,"At least Bachelor's or equivalent, male"
Kuwait,KWT,2018,8.79,"At least Bachelor's or equivalent, male"
Kyrgyz Republic,KGZ,2018,23.887,"At least Bachelor's or equivalent, male"
Lao PDR,LAO,2022,6.252,"At least Bachelor's or equivalent, male"
Latvia,LVA,2022,25.561,"At least Bachelor's or equivalent, male"
Lebanon,LBN,2019,22.317,"At least Bachelor's or equivalent, male"
Lesotho,LSO,2019,5.809,"At least Bachelor's or equivalent, male"
Liberia,LBR,2019,7.579,"At least Bachelor's or equivalent, male"
Lithuania,LTU,2022,35.664,"At least Bachelor's or equivalent, male"
Luxembourg,LUX,2022,43.435,"At least Bachelor's or equivalent, male"
"Macao SAR, China",MAC,2014,31.329,"At least Bachelor's or equivalent, male"
Madagascar,MDG,2021,3.415,"At least Bachelor's or equivalent, male"
Malawi,MWI,2020,2.168,"At least Bachelor's or equivalent, male"
Malaysia,MYS,2022,14.43,"At least Bachelor's or equivalent, male"
Maldives,MDV,2019,12.229,"At least Bachelor's or equivalent, male"
Mali,MLI,2022,5.747,"At least Bachelor's or equivalent, male"
Malta,MLT,2022,22.038,"At least Bachelor's or equivalent, male"
Marshall Islands,MHL,2021,4.452,"At least Bachelor's or equivalent, male"
Mauritania,MRT,2019,4.926,"At least Bachelor's or equivalent, male"
Mauritius,MUS,2021,0.0,"At least Bachelor's or equivalent, male"
Mexico,MEX,2020,18.0,"At least Bachelor's or equivalent, male"
"Micronesia, Fed. Sts.",FSM,2014,7.878,"At least Bachelor's or equivalent, male"
Moldova,MDA,2023,18.365,"At least Bachelor's or equivalent, male"
Monaco,MCO,2016,48.966,"At least Bachelor's or equivalent, male"
Mongolia,MNG,2023,25.27,"At least Bachelor's or equivalent, male"
Montenegro,MNE,2022,65.529,"At least Bachelor's or equivalent, male"
Mozambique,MOZ,2022,3.908,"At least Bachelor's or equivalent, male"
Myanmar,MMR,2020,14.018,"At least Bachelor's or equivalent, male"
Namibia,NAM,2016,9.244,"At least Bachelor's or equivalent, male"
Nauru,NRU,2021,1.562,"At least Bachelor's or equivalent, male"
Nepal,NPL,2017,8.721,"At least Bachelor's or equivalent, male"
Netherlands,NLD,2022,37.732,"At least Bachelor's or equivalent, male"
New Caledonia,NCL,2022,19.609,"At least Bachelor's or equivalent, male"
