Country Name,Country Code,Year,Value,Disaggregation
"Korea, Rep.",KOR,2023,30.457,"At least Bachelor's or equivalent, female"
Kuwait,KWT,2018,15.76,"At least Bachelor's or equivalent, female"
Kyrgyz Republic,KGZ,2018,24.601,"At least Bachelor's or equivalent, female"
Lao PDR,LAO,2022,4.189,"At least Bachelor's or equivalent, female"
Latvia,LVA,2022,37.026,"At least Bachelor's or equivalent, female"
Lebanon,LBN,2019,21.987,"At least Bachelor's or equivalent, female"
Lesotho,LSO,2019,5.454,"At least Bachelor's or equivalent, female"
Liberia,LBR,2019,2.82,"At least Bachelor's or equivalent, female"
Lithuania,LTU,2022,46.155,"At least Bachelor's or equivalent, female"
Luxembourg,LUX,2022,41.212,"At least Bachelor's or equivalent, female"
"Macao SAR, China",MAC,2014,34.654,"At least Bachelor's or equivalent, female"
Madagascar,MDG,2021,2.499,"At least Bachelor's or equivalent, female"
Malawi,MWI,2020,0.619,"At least Bachelor's or equivalent, female"
Malaysia,MYS,2022,14.7,"At least Bachelor's or equivalent, female"
Maldives,MDV,2019,9.8,"At least Bachelor's or equivalent, female"
Mali,MLI,2022,2.131,"At least Bachelor's or equivalent, female"
Malta,MLT,2022,23.25,"At least Bachelor's or equivalent, female"
Marshall Islands,MHL,2021,3.923,"At least Bachelor's or equivalent, female"
Mauritania,MRT,2019,1.269,"At least Bachelor's or equivalent, female"
Mauritius,MUS,2021,0.0,"At least Bachelor's or equivalent, female"
Mexico,MEX,2020,16.34,"At least Bachelor's or equivalent, female"
"Micronesia, Fed. Sts.",FSM,2014,6.346,"At least Bachelor's or equivalent, female"
Moldova,MDA,2023,23.13,"At least Bachelor's or equivalent, female"
Monaco,MCO,2016,39.6,"At least Bachelor's or equivalent, female"
Mongolia,MNG,2023,37.046,"At least Bachelor's or equivalent, female"
Montenegro,MNE,2022,58.192,"At least Bachelor's or equivalent, female"
Mozambique,MOZ,2022,2.361,"At least Bachelor's or equivalent, female"
Myanmar,MMR,2020,11.116,"At least Bachelor's or equivalent, female"
Namibia,NAM,2016,9.302,"At least Bachelor's or equivalent, female"
Nauru,NRU,2021,1.398,"At least Bachelor's or equivalent, female"
Nepal,NPL,2017,3.518,"At least Bachelor's or equivalent, female"
Netherlands,NLD,2022,35.552,"At least Bachelor's or equivalent, female"
New Caledonia,NCL,2022,19.54,"At least Bachelor's or equivalent, female"
New Zealand,NZL,2020,35.56,"At least Bachelor's or equivalent, female"
Nicaragua,NIC,2021,21.704,"At least Bachelor's or equivalent, female"
Niger,NER,2022,0.626,"At least Bachelor's or equivalent, female"
Nigeria,NGA,2022,2.736,"At least Bachelor's or equivalent, female"
North Macedonia,MKD,2023,21.329,"At least Bachelor's or equivalent, female"
Norway,NOR,2022,37.083,"At least Bachelor's or equivalent, female"
Oman,OMN,2022,25.92,"At least Bachelor's or equivalent, female"
Pakistan,PAK,2021,7.081,"At least Bachelor's or equivalent, female"
Palau,PLW,2020,17.487,"At least Bachelor's or equivalent, female"
Panama,PAN,2023,19.055,"At least Bachelor's or equivalent, female"
Papua New Guinea,PNG,2022,1.988,"At least Bachelor's or equivalent, female"
Paraguay,PRY,2020,16.53,"At least Bachelor's or equivalent, female"
Philippines,PHL,2022,20.15,"At least Bachelor's or equivalent, female"
Poland,POL,2022,32.161,"At least Bachelor's or equivalent, female"
Portugal,PRT,2023,26.651,"At least Bachelor's or equivalent, female"
Puerto Rico,PRI,2017,8.77,"At least Bachelor's or equivalent, female"
Qatar,QAT,2022,49.1,"At least Bachelor's or equivalent, female"
Romania,ROU,2022,15.697,"At least Bachelor's or equivalent, female"
Russian Federation,RUS,2021,42.83,"At least Bachelor's or equivalent, female"
Rwanda,RWA,2023,4.216,"At least Bachelor's or equivalent, female"
Samoa,WSM,2022,18.327,"At least Bachelor's or equivalent, female"
San Marino,SMR,2022,19.65,"At least Bachelor's or equivalent, female"
Sao Tome and Principe,STP,2019,3.51,"At least Bachelor's or equivalent, female"
Saudi Arabia,SAU,2023,35.96,"At least Bachelor's or equivalent, female"
Senegal,SEN,2022,3.105,"At least Bachelor's or equivalent, female"
Serbia,SRB,2023,19.762,"At least Bachelor's or equivalent, female"
Sierra Leone,SLE,2019,0.746,"At least Bachelor's or equivalent, female"
Singapore,SGP,2022,34.39,"At least Bachelor's or equivalent, female"
Slovak Republic,SVK,2022,28.565,"At least Bachelor's or equivalent, female"
Slovenia,SVN,2022,29.89,"At least Bachelor's or equivalent, female"
Solomon Islands,SLB,2013,11.213,"At least Bachelor's or equivalent, female"
Somalia,SOM,2022,1.44,"At least Bachelor's or equivalent, female"
South Africa,ZAF,2023,13.148,"At least Bachelor's or equivalent, female"
South Sudan,SSD,2008,2.5,"At least Bachelor's or equivalent, female"
Spain,ESP,2022,27.095,"At least Bachelor's or equivalent, female"
Sri Lanka,LKA,2022,0.792,"At least Bachelor's or equivalent, female"
Sudan,SDN,2022,10.537,"At least Bachelor's or equivalent, female"
Suriname,SUR,2018,5.335,"At least Bachelor's or equivalent, female"
Sweden,SWE,2022,38.991,"At least Bachelor's or equivalent, female"
Switzerland,CHE,2023,36.734,"At least Bachelor's or equivalent, female"
Tajikistan,TJK,2017,7.14,"At least Bachelor's or equivalent, female"
Tanzania,TZA,2022,1.511,"At least Bachelor's or equivalent, female"
Thailand,THA,2022,19.6,"At least Bachelor's or equivalent, female"
Timor-Leste,TLS,2022,0.936,"At least Bachelor's or equivalent, female"
Togo,TGO,2022,2.742,"At least Bachelor's or equivalent, female"
Tonga,TON,2021,5.284,"At least Bachelor's or equivalent, female"
Trinidad and Tobago,TTO,2022,12.301,"At least Bachelor's or equivalent, female"
Tunisia,TUN,2022,13.935,"At least Bachelor's or equivalent, female"
Turkiye,TUR,2022,19.108,"At least Bachelor's or equivalent, female"
Turkmenistan,TKM,2019,9.834,"At least Bachelor's or equivalent, female"
Turks and Caicos Islands,TCA,2019,13.627,"At least Bachelor's or equivalent, female"
Tuvalu,TUV,2022,6.74,"At least Bachelor's or equivalent, female"
Uganda,UGA,2021,2.976,"At least Bachelor's or equivalent, female"
Ukraine,UKR,2001,16.08,"At least Bachelor's or equivalent, female"
United Arab Emirates,ARE,2022,51.81,"At least Bachelor's or equivalent, female"
United Kingdom,GBR,2023,37.759,"At least Bachelor's or equivalent, female"
United States,USA,2023,39.66,"At least Bachelor's or equivalent, female"
Uruguay,URY,2022,25.42,"At least Bachelor's or equivalent, female"
Uzbekistan,UZB,2022,14.07,"At least Bachelor's or equivalent, female"
Vanuatu,VUT,2020,2.037,"At least Bachelor's or equivalent, female"
"Venezuela, RB",VEN,2017,26.819,"At least Bachelor's or equivalent, female"
Viet Nam,VNM,2023,10.744,"At least Bachelor's or equivalent, female"
West Bank and Gaza,PSE,2022,24.35,"At least Bachelor's or equivalent, female"
"Yemen, Rep.",YEM,2014,1.731,"At least Bachelor's or equivalent, female"
Zambia,ZMB,2022,2.029,"At least Bachelor's or equivalent, female"
Zimbabwe,ZWE,2022,0.806,"At least Bachelor's or equivalent, female"
