Country Name,Country Code,Year,Value,Disaggregation
Lebanon,LBN,2019,42.442,"At least completed upper secondary, total"
Lesotho,LSO,2019,6.473,"At least completed upper secondary, total"
Liberia,LBR,2019,26.156,"At least completed upper secondary, total"
Libya,LBY,1984,11.2,"At least completed upper secondary, total"
Liechtenstein,LIE,2000,71.49,"At least completed upper secondary, total"
Lithuania,LTU,2022,91.995,"At least completed upper secondary, total"
Luxembourg,LUX,2022,77.408,"At least completed upper secondary, total"
"Macao SAR, China",MAC,2016,51.98,"At least completed upper secondary, total"
Madagascar,MDG,2021,8.873,"At least completed upper secondary, total"
Malawi,MWI,2020,12.148,"At least completed upper secondary, total"
Malaysia,MYS,2022,69.8,"At least completed upper secondary, total"
Maldives,MDV,2019,28.748,"At least completed upper secondary, total"
Mali,MLI,2022,9.659,"At least completed upper secondary, total"
Malta,MLT,2022,55.239,"At least completed upper secondary, total"
Marshall Islands,MHL,2021,48.394,"At least completed upper secondary, total"
Mauritania,MRT,2019,5.574,"At least completed upper secondary, total"
Mauritius,MUS,2022,50.665,"At least completed upper secondary, total"
Mexico,MEX,2023,40.862,"At least completed upper secondary, total"
"Micronesia, Fed. Sts.",FSM,2014,61.229,"At least completed upper secondary, total"
Moldova,MDA,2023,75.425,"At least completed upper secondary, total"
Monaco,MCO,2016,90.107,"At least completed upper secondary, total"
Mongolia,MNG,2023,82.909,"At least completed upper secondary, total"
Montenegro,MNE,2021,59.259,"At least completed upper secondary, total"
Morocco,MAR,2014,14.736,"At least completed upper secondary, total"
Mozambique,MOZ,2022,11.636,"At least completed upper secondary, total"
Myanmar,MMR,2020,61.789,"At least completed upper secondary, total"
Namibia,NAM,2016,33.026,"At least completed upper secondary, total"
Nauru,NRU,2021,31.467,"At least completed upper secondary, total"
Nepal,NPL,2021,12.849,"At least completed upper secondary, total"
Netherlands,NLD,2022,74.051,"At least completed upper secondary, total"
New Caledonia,NCL,2022,84.04,"At least completed upper secondary, total"
New Zealand,NZL,2020,75.11,"At least completed upper secondary, total"
