Country Name,Country Code,Year,Value,Disaggregation
Lebanon,LBN,2019,42.381,"At least completed upper secondary, male"
Lesotho,LSO,2019,6.986,"At least completed upper secondary, male"
Liberia,LBR,2019,36.482,"At least completed upper secondary, male"
Libya,LBY,1984,12.97,"At least completed upper secondary, male"
Liechtenstein,LIE,2000,80.88,"At least completed upper secondary, male"
Lithuania,LTU,2022,91.605,"At least completed upper secondary, male"
Luxembourg,LUX,2022,79.325,"At least completed upper secondary, male"
"Macao SAR, China",MAC,2016,53.18,"At least completed upper secondary, male"
Madagascar,MDG,2021,10.593,"At least completed upper secondary, male"
Malawi,MWI,2020,17.565,"At least completed upper secondary, male"
Malaysia,MYS,2022,70.34,"At least completed upper secondary, male"
Maldives,MDV,2019,29.4,"At least completed upper secondary, male"
Mali,MLI,2022,12.953,"At least completed upper secondary, male"
Malta,MLT,2022,55.393,"At least completed upper secondary, male"
Marshall Islands,MHL,2021,49.802,"At least completed upper secondary, male"
Mauritania,MRT,2019,8.844,"At least completed upper secondary, male"
Mauritius,MUS,2022,55.737,"At least completed upper secondary, male"
Mexico,MEX,2023,41.844,"At least completed upper secondary, male"
"Micronesia, Fed. Sts.",FSM,2014,63.333,"At least completed upper secondary, male"
Moldova,MDA,2023,76.377,"At least completed upper secondary, male"
Monaco,MCO,2016,91.958,"At least completed upper secondary, male"
Mongolia,MNG,2023,81.21,"At least completed upper secondary, male"
Montenegro,MNE,2021,64.954,"At least completed upper secondary, male"
Morocco,MAR,2014,17.566,"At least completed upper secondary, male"
Mozambique,MOZ,2022,15.299,"At least completed upper secondary, male"
Myanmar,MMR,2020,65.007,"At least completed upper secondary, male"
Namibia,NAM,2016,34.498,"At least completed upper secondary, male"
Nauru,NRU,2021,29.733,"At least completed upper secondary, male"
Nepal,NPL,2021,16.442,"At least completed upper secondary, male"
Netherlands,NLD,2022,75.775,"At least completed upper secondary, male"
New Caledonia,NCL,2022,85.709,"At least completed upper secondary, male"
New Zealand,NZL,2020,75.69,"At least completed upper secondary, male"
Nicaragua,NIC,2021,51.226,"At least completed upper secondary, male"
Niger,NER,2022,4.378,"At least completed upper secondary, male"
Nigeria,NGA,2022,71.859,"At least completed upper secondary, male"
North Macedonia,MKD,2023,76.036,"At least completed upper secondary, male"
Norway,NOR,2022,79.877,"At least completed upper secondary, male"
Oman,OMN,2022,59.33,"At least completed upper secondary, male"
Pakistan,PAK,2021,33.867,"At least completed upper secondary, male"
Palau,PLW,2020,85.462,"At least completed upper secondary, male"
Panama,PAN,2023,48.644,"At least completed upper secondary, male"
Papua New Guinea,PNG,2022,24.446,"At least completed upper secondary, male"
Paraguay,PRY,2022,44.18,"At least completed upper secondary, male"
Peru,PER,2023,68.545,"At least completed upper secondary, male"
Philippines,PHL,2022,33.311,"At least completed upper secondary, male"
Poland,POL,2023,62.222,"At least completed upper secondary, male"
Portugal,PRT,2023,45.65,"At least completed upper secondary, male"
Puerto Rico,PRI,2017,77.75,"At least completed upper secondary, male"
Qatar,QAT,2022,45.01,"At least completed upper secondary, male"
Romania,ROU,2022,78.27,"At least completed upper secondary, male"
Russian Federation,RUS,2023,92.976,"At least completed upper secondary, male"
Rwanda,RWA,2023,16.489,"At least completed upper secondary, male"
Samoa,WSM,2022,39.587,"At least completed upper secondary, male"
San Marino,SMR,2022,59.48,"At least completed upper secondary, male"
Sao Tome and Principe,STP,2017,7.749,"At least completed upper secondary, male"
Saudi Arabia,SAU,2023,64.76,"At least completed upper secondary, male"
Senegal,SEN,2022,14.779,"At least completed upper secondary, male"
Serbia,SRB,2023,80.446,"At least completed upper secondary, male"
Seychelles,SYC,2020,85.822,"At least completed upper secondary, male"
Sierra Leone,SLE,2019,18.512,"At least completed upper secondary, male"
Singapore,SGP,2023,66.55,"At least completed upper secondary, male"
Slovak Republic,SVK,2022,92.894,"At least completed upper secondary, male"
Slovenia,SVN,2022,88.883,"At least completed upper secondary, male"
Solomon Islands,SLB,2013,27.866,"At least completed upper secondary, male"
Somalia,SOM,2022,15.98,"At least completed upper secondary, male"
South Africa,ZAF,2023,44.344,"At least completed upper secondary, male"
South Sudan,SSD,2008,16.21,"At least completed upper secondary, male"
Spain,ESP,2023,54.83,"At least completed upper secondary, male"
Sri Lanka,LKA,2022,63.15,"At least completed upper secondary, male"
St. Lucia,LCA,2022,16.776,"At least completed upper secondary, male"
Sudan,SDN,2022,21.245,"At least completed upper secondary, male"
Suriname,SUR,2018,16.792,"At least completed upper secondary, male"
Sweden,SWE,2022,83.265,"At least completed upper secondary, male"
Switzerland,CHE,2023,86.983,"At least completed upper secondary, male"
Syrian Arab Republic,SYR,2009,24.76,"At least completed upper secondary, male"
Tajikistan,TJK,2017,85.18,"At least completed upper secondary, male"
Tanzania,TZA,2022,8.379,"At least completed upper secondary, male"
Thailand,THA,2023,39.635,"At least completed upper secondary, male"
Timor-Leste,TLS,2022,16.357,"At least completed upper secondary, male"
Togo,TGO,2022,25.692,"At least completed upper secondary, male"
Tonga,TON,2021,66.828,"At least completed upper secondary, male"
Trinidad and Tobago,TTO,2022,61.54,"At least completed upper secondary, male"
Tunisia,TUN,2023,47.513,"At least completed upper secondary, male"
Turkiye,TUR,2023,46.536,"At least completed upper secondary, male"
Turkmenistan,TKM,2019,38.553,"At least completed upper secondary, male"
Turks and Caicos Islands,TCA,2019,75.428,"At least completed upper secondary, male"
Tuvalu,TUV,2022,37.818,"At least completed upper secondary, male"
Uganda,UGA,2021,45.611,"At least completed upper secondary, male"
Ukraine,UKR,2021,75.24,"At least completed upper secondary, male"
United Arab Emirates,ARE,2022,75.84,"At least completed upper secondary, male"
United Kingdom,GBR,2023,79.349,"At least completed upper secondary, male"
United States,USA,2023,95.115,"At least completed upper secondary, male"
Uruguay,URY,2023,30.39,"At least completed upper secondary, male"
Uzbekistan,UZB,2022,97.67,"At least completed upper secondary, male"
Vanuatu,VUT,2020,20.787,"At least completed upper secondary, male"
"Venezuela, RB",VEN,2017,54.712,"At least completed upper secondary, male"
Viet Nam,VNM,2023,44.022,"At least completed upper secondary, male"
West Bank and Gaza,PSE,2022,44.43,"At least completed upper secondary, male"
"Yemen, Rep.",YEM,2023,36.159,"At least completed upper secondary, male"
Zambia,ZMB,2022,46.717,"At least completed upper secondary, male"
Zimbabwe,ZWE,2022,69.418,"At least completed upper secondary, male"
