,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent Birth Rate
JAM,1.37,249.4921514,7481.6685,1.71,93.0,2823271.0,
JOR,2.918,68.11218743,9151.479,1.37,41.0,10671891.0,
JPN,1.36,349.659808,38268.79,12.72,4.0,126633000.0,2.73
KAZ,2.9,6.046227359,26491.857,6.72,14.0,19209555.0,23.2
KEN,3.469,71.18283726,3403.9238,,503.0,51202827.0,51.32
KGZ,3.3,28.40458811,5304.841,4.19,47.0,6590211.0,36.56
KHM,2.402,80.0985724,3944.2468,,214.0,16481304.0,50.56
KIR,3.368,123.4567901,,,108.0,123921.0,
KNA,1.568,200.0,,,,46952.0,
KOR,0.918,503.3470649,41320.9,,6.0,51764822.0,0.84
KWT,2.159,153.5353535,71533.516,2.35,7.0,4442316.0,5.56
LAO,2.571,26.86741768,7168.1904,1.27,153.0,7237636.0,
LBN,2.13,413.1964809,10341.159,2.73,20.0,5794594.0,
LBR,4.257,41.46594684,811.2146,,668.0,5043721.0,
LBY,2.539,3.611739432,12755.204,,72.0,6951033.0,
LCA,1.424,285.2459016,10452.165,,72.0,177661.0,
LIE,1.48,225.2,,,,38563.0,3.1
LKA,2.019,332.6423218,10705.481,4.02,30.0,21803000.0,
LSO,3.094,71.5085639,2312.9583,,629.0,2209405.0,
LTU,1.61,52.4493378,30863.32,5.96,7.0,2794137.0,10.06
LUX,1.34,195.7528958,55484.777,4.19,6.0,620001.0,3.98
LVA,1.61,36.00836282,27220.303,5.3,22.0,1913822.0,12.55
MAC,1.077,19428.57143,,,,672000.0,1.33
MAF,2.485,555.7904412,,,,34267.0,26.74
MAR,2.382,71.59085817,8400.127,0.73,76.0,36210898.0,
MCO,,17703.5,,,,38109.0,
MDA,1.78,123.9948481,6674.871,,12.0,2664224.0,28.51
MDG,3.978,35.61921794,1367.0938,,398.0,28219554.0,143.01
MDV,1.736,1053.333333,,5.04,50.0,487731.0,5.12
MEX,1.916,58.34666529,16235.455,,58.0,125762982.0,50.67
MHL,2.824,300.2111111,,,,44007.0,
MKD,1.34,81.68120539,14050.995,4.22,3.0,1876262.0,15.58
MLI,6.103,12.59639892,1651.9413,,428.0,21068405.0,144.27
MLT,1.14,1300.0,34496.34,,4.0,504062.0,12.04
MMR,2.2,73.39178602,5177.4326,,213.0,52640713.0,
MNE,1.77,46.98884758,20941.805,3.81,6.0,622028.0,11.44
MNG,2.937,1.773990062,13442.906,8.22,40.0,3267673.0,30.51
MNP,,132.4282609,,,,48129.0,
MOZ,4.783,29.74388972,1087.836,0.7,150.0,29884380.0,
MRT,4.521,3.356941884,3680.3662,3.64,431.0,4467708.0,89.64
MUS,1.4,631.0344828,20643.094,,49.0,1265985.0,23.23
MWI,4.072,158.0504879,1190.0509,,370.0,19025752.0,
MYS,1.834,86.4434637,26628.707,,22.0,33440596.0,8.5
NAM,3.404,2.773020442,7979.328,,223.0,2650494.0,
NCL,2.1,13.51203501,,,,283606.0,12.52
NER,6.961,12.24599353,1007.72095,0.27,410.0,22947757.0,149.59
NGA,5.379,173.9440254,5070.4927,,1122.0,209485641.0,80.95
NIC,2.377,48.10536812,5092.8413,0.94,75.0,6483657.0,
NLD,1.57,492.6178476,49669.867,2.91,4.0,17344874.0,2.45
NOR,1.53,16.00484499,88366.22,3.4,2.0,5347896.0,2.26
NPL,2.08,208.9919777,3013.5178,0.28,182.0,28414064.0,76.43
NRU,3.618,,,,,11587.0,
NZL,1.72,16.58881167,38250.12,2.51,7.0,4979200.0,12.8
OMN,2.776,8.991922456,47988.65,1.16,16.0,4591241.0,8.23
PAK,3.62,225.1880967,5531.723,,179.0,230800899.0,
PAN,2.375,47.30965833,23557.02,1.92,51.0,4234700.0,68.65
PER,2.242,22.715625,12762.967,1.64,72.0,32449303.0,39.41
PHL,2.805,312.7779455,8370.666,0.99,81.0,110804683.0,
PLW,,44.50434783,,,,17798.0,34.47
PNG,3.322,15.14375304,,,190.0,9609010.0,
POL,1.44,125.5226824,32468.402,6.11,2.0,37965475.0,9.4
PRI,0.982,448.4780158,35280.668,,21.0,3193694.0,19.5
PRK,1.84,202.1925089,1568.847,,106.0,26037632.0,
PRT,1.43,116.3004264,28992.059,3.53,11.0,10286263.0,7.63
