Entity
ABW_Estimated maternal mortality ratio
ABW_Population (historical)
AFG_Estimated maternal mortality ratio
AFG_Population (historical)
AGO_Estimated maternal mortality ratio
AGO_Population (historical)
AIA_Estimated maternal mortality ratio
AIA_Population (historical)
ALB_Estimated maternal mortality ratio
ALB_Population (historical)
AND_Estimated maternal mortality ratio
AND_Population (historical)
ARE_Estimated maternal mortality ratio
ARE_Population (historical)
ARG_Estimated maternal mortality ratio
ARG_Population (historical)
ARM_Estimated maternal mortality ratio
ARM_Population (historical)
ASM_Estimated maternal mortality ratio
ASM_Population (historical)
ATG_Estimated maternal mortality ratio
ATG_Population (historical)
AUS_Estimated maternal mortality ratio
AUS_Population (historical)
AUT_Estimated maternal mortality ratio
AUT_Population (historical)
AZE_Estimated maternal mortality ratio
AZE_Population (historical)
Africa (UN)_Estimated maternal mortality ratio
Africa (UN)_Population (historical)
Africa_Estimated maternal mortality ratio
Africa_Population (historical)
Akrotiri and Dhekelia_Estimated maternal mortality ratio
Akrotiri and Dhekelia_Population (historical)
Americas (UN)_Estimated maternal mortality ratio
Americas (UN)_Population (historical)
Asia (UN)_Estimated maternal mortality ratio
Asia (UN)_Population (historical)
Asia_Estimated maternal mortality ratio
Asia_Population (historical)
BDI_Estimated maternal mortality ratio
BDI_Population (historical)
BEL_Estimated maternal mortality ratio
BEL_Population (historical)
BEN_Estimated maternal mortality ratio
BEN_Population (historical)
BES_Estimated maternal mortality ratio
BES_Population (historical)
BFA_Estimated maternal mortality ratio
BFA_Population (historical)
BGD_Estimated maternal mortality ratio
BGD_Population (historical)
BGR_Estimated maternal mortality ratio
BGR_Population (historical)
BHR_Estimated maternal mortality ratio
BHR_Population (historical)
BHS_Estimated maternal mortality ratio
BHS_Population (historical)
BIH_Estimated maternal mortality ratio
BIH_Population (historical)
BLM_Estimated maternal mortality ratio
BLM_Population (historical)
BLR_Estimated maternal mortality ratio
BLR_Population (historical)
BLZ_Estimated maternal mortality ratio
BLZ_Population (historical)
BMU_Estimated maternal mortality ratio
BMU_Population (historical)
BOL_Estimated maternal mortality ratio
BOL_Population (historical)
BRA_Estimated maternal mortality ratio
BRA_Population (historical)
BRB_Estimated maternal mortality ratio
BRB_Population (historical)
BRN_Estimated maternal mortality ratio
BRN_Population (historical)
BTN_Estimated maternal mortality ratio
BTN_Population (historical)
BWA_Estimated maternal mortality ratio
BWA_Population (historical)
CAF_Estimated maternal mortality ratio
CAF_Population (historical)
CAN_Estimated maternal mortality ratio
CAN_Population (historical)
CHE_Estimated maternal mortality ratio
CHE_Population (historical)
CHL_Estimated maternal mortality ratio
CHL_Population (historical)
CHN_Estimated maternal mortality ratio
CHN_Population (historical)
CIV_Estimated maternal mortality ratio
CIV_Population (historical)
CMR_Estimated maternal mortality ratio
CMR_Population (historical)
COD_Estimated maternal mortality ratio
COD_Population (historical)
COG_Estimated maternal mortality ratio
COG_Population (historical)
COK_Estimated maternal mortality ratio
COK_Population (historical)
COL_Estimated maternal mortality ratio
COL_Population (historical)
COM_Estimated maternal mortality ratio
COM_Population (historical)
CPV_Estimated maternal mortality ratio
