country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
NGA,0.346,,,100.0,-0.583,0.777,1.046,0.286,-0.637,-0.85,0.663,0.822,0.921,0.651,0.297,0.858,0.808,0.669,0.608,0.667,0.734,0.538,0.935,0.685,0.701,0.76,0.616,0.249,-1.365,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.75,-1.144,-1.892,,4.7,113.6,,208327405.0
PHL,0.286,,,100.0,-0.777,1.254,2.011,0.159,-0.063,-0.644,0.575,0.729,0.796,0.515,0.306,0.564,0.691,0.681,0.258,0.572,0.37,0.374,0.779,0.796,0.714,0.739,0.962,0.413,-0.834,0.5,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.25,0.5,0.068,-0.779,,2.08,27.2,,112190977.0
TZA,0.336,2.0,8.0,100.0,1.418,1.537,0.945,-0.215,0.302,-0.803,0.253,0.571,0.245,0.651,0.736,0.566,0.662,0.263,0.316,0.403,0.41,0.198,0.295,0.787,0.692,0.709,0.991,0.801,0.589,0.75,0.5,0.75,0.25,0.75,0.75,0.75,1.0,0.25,0.75,-0.738,-0.481,,4.8,49.5,,61704518.0
TWN,0.72,2.0,8.0,100.0,1.109,2.488,2.834,2.477,2.357,-0.869,0.128,0.225,0.059,0.933,0.972,0.913,0.931,0.047,0.034,0.064,0.06,0.041,0.195,0.903,0.924,0.807,0.999,0.929,0.062,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.539,0.756,,0.99,4.33,,
THA,0.185,,,100.0,-0.132,2.497,2.165,-0.078,0.695,2.257,0.574,0.632,0.782,0.382,0.253,0.368,0.524,0.376,0.164,0.342,0.531,0.425,0.705,0.667,0.479,0.59,0.962,0.338,-2.425,0.25,0.25,0.5,0.75,0.5,0.5,0.75,1.0,0.0,0.5,0.202,-0.578,,1.26,8.49,,71475664.0
UGA,0.23,,,100.0,0.027,1.009,1.559,-0.512,-0.014,0.649,0.589,0.63,0.745,0.453,0.294,0.489,0.58,0.658,0.399,0.584,0.606,0.739,0.768,0.736,0.541,0.687,0.977,0.379,-0.64,0.5,0.5,0.5,0.75,0.5,0.75,0.75,1.0,0.25,0.5,-0.616,-0.811,,4.62,43.02,,44404611.0
VEN,0.058,2.0,8.0,100.0,1.172,1.885,2.625,2.255,-1.546,2.083,0.978,0.888,0.97,0.329,0.186,0.259,0.527,0.529,0.135,0.492,0.958,0.486,0.962,0.754,0.51,0.803,0.964,0.01,-1.995,0.25,0.25,0.5,1.0,0.5,1.0,0.75,1.0,0.0,0.0,-1.889,-1.552,,2.12,25.54,,28490453.0
BEN,0.283,,,100.0,0.967,1.445,2.469,0.246,0.887,-0.241,0.383,0.506,0.139,0.816,0.847,0.702,0.915,0.513,0.194,0.402,0.296,0.232,0.183,0.828,0.888,0.82,0.81,0.776,0.461,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.25,0.5,-0.291,-0.443,,4.8,88.76,,12643123.0
BTN,0.518,,,100.0,1.616,0.993,1.928,1.501,1.787,-1.177,0.097,0.215,0.052,0.764,0.883,0.717,0.703,0.161,0.191,0.194,0.124,0.146,0.108,0.789,0.826,0.724,0.836,0.917,2.039,0.75,0.75,0.75,0.0,1.0,0.75,0.75,1.0,0.5,1.0,0.3,1.013,,1.5,27.36,,772506.0
BFA,0.487,2.0,8.0,100.0,1.237,-0.324,1.852,0.252,1.262,-1.067,0.405,0.617,0.484,0.821,0.839,0.882,0.755,0.239,0.322,0.257,0.137,0.161,0.453,0.635,0.692,0.775,0.453,0.707,0.155,1.0,1.0,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.75,-0.708,-1.538,,4.44,71.52,,21522626.0
