country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
MAR,0.232,,,100.0,-0.295,0.725,0.647,0.23,0.235,-0.714,0.488,0.545,0.545,0.612,0.755,0.523,0.555,0.405,0.413,0.346,0.29,0.36,0.646,0.745,0.651,0.731,0.87,0.476,1.075,0.75,0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.25,0.75,-0.189,-0.36,,2.32,20.61,,36688772.0
NLD,0.806,,,100.0,1.938,2.283,3.047,2.535,2.436,-1.149,0.018,0.02,0.015,0.931,0.977,0.923,0.906,0.019,0.043,0.042,0.016,0.025,0.021,0.889,0.935,0.761,0.995,0.984,0.082,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.806,0.831,,1.55,3.53,,17441500.0
PAN,0.55,,,100.0,-0.509,0.924,2.37,1.336,1.007,-0.953,0.415,0.661,0.494,0.87,0.913,0.863,0.84,0.459,0.249,0.321,0.204,0.384,0.508,0.805,0.804,0.723,0.909,0.625,0.88,1.0,1.0,1.0,0.5,1.0,0.75,1.0,1.0,0.5,0.75,0.165,0.235,,2.18,14.62,,4294396.0
PNG,0.353,,,100.0,0.772,-1.17,-0.879,-0.892,-2.557,-1.279,0.472,0.827,0.794,0.822,0.802,0.861,0.814,0.705,0.826,0.945,0.07,0.296,0.681,0.444,0.612,0.533,0.192,0.5,0.867,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.0,0.25,0.75,-0.828,-0.654,,3.27,45.16,,9749640.0
QAT,0.087,,,0.0,-2.284,-0.976,-0.744,1.213,2.259,-2.303,0.758,0.847,0.382,0.428,0.859,0.115,0.309,0.426,0.58,0.169,0.384,0.7,0.369,0.339,0.284,0.339,0.393,0.537,3.747,0.5,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.867,0.67,,1.68,6.49,,2760385.0
SLE,0.419,,,100.0,0.223,1.175,1.786,-0.387,-0.542,-0.307,0.447,0.602,0.587,0.801,0.777,0.842,0.793,0.398,0.337,0.574,0.588,0.33,0.65,0.776,0.679,0.859,0.825,0.599,0.769,1.0,1.0,0.75,0.75,0.75,1.0,0.75,1.0,0.5,0.75,-1.063,-0.302,,4.08,99.03,,8233970.0
ESP,0.788,,,100.0,1.292,2.1,2.594,2.817,1.161,-0.372,0.037,0.074,0.022,0.942,0.977,0.941,0.918,0.054,0.042,0.075,0.022,0.032,0.034,0.943,0.948,0.902,0.999,0.984,-2.196,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.854,0.411,,1.19,2.84,,47365655.0
SYR,0.033,2.0,8.0,45.0,-1.952,-1.904,0.64,-1.057,-0.142,2.986,0.955,0.79,0.912,0.07,0.022,0.045,0.136,0.642,0.688,0.594,0.873,0.924,0.919,0.296,0.192,0.427,0.254,0.046,-1.547,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.25,0.0,0.0,-1.754,-2.712,,2.84,14.78,,20772595.0
TUN,0.618,,,100.0,1.971,1.528,1.942,0.34,0.143,0.692,0.121,0.234,0.226,0.791,0.755,0.831,0.795,0.186,0.232,0.329,0.158,0.275,0.372,0.863,0.859,0.798,0.966,0.821,-0.341,0.75,1.0,0.75,0.25,1.0,0.75,1.0,1.0,0.75,1.0,-0.189,-0.594,,2.0,15.94,,12161723.0
TUR,0.117,,,100.0,0.581,0.631,1.089,-0.036,0.534,3.463,0.876,0.592,0.886,0.372,0.4,0.263,0.444,0.347,0.541,0.294,0.79,0.781,0.854,0.63,0.577,0.507,0.822,0.134,-2.697,0.25,0.25,0.5,1.0,0.5,0.5,0.75,1.0,0.0,0.25,-0.159,-1.144,,1.77,9.73,,84135428.0
UKR,0.323,,,88.0,-0.912,2.035,2.684,1.816,0.423,1.34,0.643,0.379,0.61,0.753,0.721,0.76,0.795,0.385,0.086,0.182,0.261,0.276,0.687,0.872,0.809,0.867,0.963,0.331,-0.416,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.5,-0.41,-1.164,,1.21,8.18,,44132049.0
GBR,0.8,,,100.0,0.714,1.983,2.052,1.406,1.791,-0.075,0.063,0.129,0.054,0.897,0.924,0.951,0.826,0.205,0.168,0.112,0.092,0.125,0.043,0.913,0.877,0.898,0.993,0.968,-0.742,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.333,0.481,,1.57,4.21,,67081234.0
URY,0.81,,,100.0,1.368,1.465,1.957,1.933,1.828,-1.991,0.042,0.099,0.046,0.949,0.98,0.965,0.915,0.075,0.117,0.066,0.023,0.042,0.056,0.9,0.896,0.876,0.955,0.96,0.574,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,1.055,,1.5,7.2,,3429086.0
DZA,0.146,,,100.0,1.213,0.486,1.32,1.367,0.126,-0.863,0.823,0.736,0.652,0.553,0.622,0.426,0.615,0.319,0.312,0.478,0.488,0.337,0.68,0.758,0.714,0.693,0.9,0.248,-0.563,0.5,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.0,0.25,-0.573,-0.848,,2.94,22.18,,43451666.0
AGO,0.16,,,100.0,-0.087,1.136,0.793,-0.128,-0.766,-0.712,0.77,0.686,0.54,0.606,0.624,0.57,0.625,0.825,0.47,0.781,0.618,0.686,0.623,0.727,0.557,0.679,0.964,0.337,0.543,0.75,0.5,0.75,0.75,0.5,0.75,0.75,1.0,0.0,0.25,-1.258,-0.601,,5.37,72.29,,33428486.0
ARM,0.584,,,100.0,0.767,0.441,1.691,1.337,0.173,1.439,0.351,0.226,0.295,0.901,0.927,0.889,0.897,0.267,0.301,0.27,0.158,0.042,0.303,0.886,0.891,0.934,0.864,0.702,-0.794,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.5,0.75,-0.305,-0.772,,1.62,11.74,,2805608.0
AZE,0.065,2.0,8.0,100.0,-1.685,0.385,1.631,0.924,0.897,0.947,0.973,0.899,0.938,0.405,0.466,0.255,0.494,0.578,0.37,0.589,0.889,0.603,0.935,0.633,0.547,0.585,0.788,0.04,-0.888,0.5,0.25,0.5,1.0,0.5,0.5,0.75,0.75,0.0,0.0,-0.156,-0.852,,1.76,20.13,,10093121.0
BLR,0.046,2.0,8.0,100.0,1.673,0.859,2.909,2.641,1.795,3.191,0.912,0.131,0.561,0.227,0.085,0.185,0.395,0.084,0.09,0.078,0.591,0.159,0.371,0.767,0.544,0.775,0.986,0.136,-2.433,0.25,0.0,0.25,0.25,0.5,0.75,0.75,1.0,0.0,0.0,-0.83,-0.888,,1.37,3.26,,9379952.0
CMR,0.128,2.0,8.0,100.0,-0.648,1.19,1.792,0.952,-1.106,2.472,0.933,0.864,0.957,0.566,0.459,0.513,0.735,0.881,0.364,0.871,0.775,0.72,0.946,0.77,0.712,0.634,0.979,0.089,-2.569,0.5,0.5,0.75,1.0,0.75,0.75,0.75,1.0,0.0,0.25,-0.931,-1.514,,4.56,72.03,,26491087.0
TCD,0.089,,,100.0,-1.221,0.325,-0.033,-1.213,-2.126,1.819,0.929,0.897,0.928,0.354,0.149,0.416,0.502,0.902,0.739,0.79,0.76,0.725,0.938,0.572,0.427,0.543,0.746,0.053,-1.26,0.25,0.5,0.5,1.0,0.5,0.5,0.5,0.75,0.0,0.0,-1.511,-1.255,,6.35,114.49,,16644701.0
CHN,0.041,,,100.0,-0.096,0.396,1.212,1.147,0.754,-0.976,0.829,0.228,0.493,0.195,0.397,0.057,0.122,0.485,0.393,0.481,0.66,0.502,0.457,0.618,0.323,0.65,0.882,0.241,2.228,0.0,0.0,0.0,0.5,0.25,0.75,0.75,1.0,0.0,0.0,0.644,-0.473,,1.24,8.09,,1411100000.0
COD,0.155,,,0.0,-0.599,0.984,1.211,-0.292,-1.133,1.361,0.828,0.752,0.889,0.515,0.477,0.629,0.446,0.871,0.607,0.873,0.784,0.778,0.912,0.561,0.307,0.573,0.806,0.145,-0.614,0.5,0.75,0.5,1.0,0.25,0.5,0.5,1.0,0.0,0.25,-1.745,-1.785,,6.21,84.53,,92853164.0
COG,0.121,,,100.0,-0.237,-0.677,1.009,0.286,-1.318,0.286,0.848,0.89,0.821,0.345,0.227,0.342,0.455,0.867,0.514,0.803,0.891,0.869,0.806,0.411,0.379,0.36,0.481,0.19,0.3,0.25,0.25,0.5,1.0,0.25,0.25,0.5,0.5,0.0,0.25,-1.254,-0.213,,4.33,47.48,,5702174.0
DJI,0.122,,,100.0,-0.451,2.046,-1.081,-1.288,-0.646,0.069,0.784,0.694,0.688,0.416,0.415,0.416,0.394,0.748,0.811,0.788,0.719,0.767,0.653,0.589,0.44,0.349,0.981,0.326,0.825,0.5,0.5,0.25,0.75,0.5,0.25,0.5,1.0,0.0,0.25,-0.761,-0.448,,2.75,52.9,,1090156.0
DOM,0.4,2.0,16.0,100.0,0.262,0.719,1.494,0.11,-0.81,-0.858,0.557,0.815,0.57,0.884,0.869,0.925,0.874,0.617,0.448,0.694,0.653,0.482,0.616,0.843,0.769,0.854,0.934,0.561,-0.234,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.5,-0.281,0.165,,2.33,27.67,,10999664.0
ERI,0.01,,,0.0,1.254,-0.622,0.904,0.198,-1.494,1.914,0.939,0.789,0.661,0.054,0.113,0.029,0.011,0.639,0.61,0.678,0.94,0.86,0.663,0.159,0.052,0.122,0.279,0.088,-0.863,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,-1.643,-0.993,,3.93,37.75,,3555868.0
GAB,0.201,,,100.0,0.637,1.608,1.695,0.154,0.065,-0.533,0.82,0.526,0.795,0.807,0.925,0.736,0.777,0.572,0.429,0.556,0.596,0.468,0.821,0.756,0.727,0.662,0.911,0.342,-0.405,1.0,0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.25,0.5,-0.993,-0.066,,3.83,42.36,,2292573.0
GMB,0.405,,,100.0,0.53,1.156,1.469,-0.086,-0.16,-1.128,0.271,0.467,0.4,0.84,0.852,0.816,0.878,0.346,0.316,0.387,0.296,0.228,0.325,0.79,0.849,0.775,0.77,0.741,1.85,1.0,1.0,1.0,0.25,1.0,0.75,0.75,0.75,0.5,0.75,-0.787,0.248,,4.25,55.1,,2573995.0
GEO,0.471,2.0,8.0,100.0,0.707,2.024,2.148,2.316,1.444,1.419,0.27,0.346,0.159,0.903,0.931,0.903,0.892,0.164,0.076,0.188,0.15,0.134,0.127,0.891,0.825,0.917,0.963,0.772,-1.183,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.717,-0.43,,1.98,9.02,,3722716.0
GNB,0.338,,,100.0,-0.23,0.458,1.27,-0.203,-0.847,-0.68,0.617,0.608,0.797,0.799,0.871,0.714,0.832,0.611,0.492,0.571,0.507,0.637,0.834,0.689,0.703,0.643,0.74,0.269,-0.558,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.5,-1.465,-0.722,,4.08,77.08,,2015828.0
JAM,0.705,2.0,8.0,100.0,1.032,2.771,2.95,2.613,1.896,-1.075,0.167,0.512,0.238,0.908,0.887,0.942,0.909,0.187,0.068,0.074,0.122,0.122,0.164,0.921,0.889,0.906,0.995,0.882,0.705,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.529,0.259,,1.38,13.79,,2820436.0
KAZ,0.118,,,100.0,-0.294,1.093,1.964,1.47,0.761,0.25,0.865,0.647,0.851,0.511,0.558,0.358,0.622,0.386,0.273,0.25,0.214,0.432,0.835,0.759,0.72,0.625,0.95,0.21,0.848,0.5,0.25,0.75,1.0,0.75,0.75,0.75,1.0,0.0,0.25,0.106,-0.258,,3.13,8.86,,18755666.0
KGZ,0.252,2.0,8.0,100.0,0.223,0.528,1.371,1.482,0.499,1.214,0.713,0.75,0.787,0.651,0.609,0.662,0.689,0.447,0.345,0.279,0.304,0.374,0.813,0.745,0.677,0.759,0.804,0.375,-2.113,0.75,0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.25,0.5,-0.577,-0.456,,3.05,17.82,,6579900.0
LAO,0.079,,,100.0,-0.001,0.965,1.843,1.072,-0.001,-0.915,0.688,0.273,0.678,0.139,0.162,0.061,0.183,0.499,0.274,0.423,0.366,0.496,0.741,0.488,0.188,0.321,0.946,0.301,2.303,0.0,0.0,0.0,0.75,0.0,0.25,0.5,1.0,0.0,0.25,-0.738,0.694,,2.54,43.9,,7319399.0
LBY,0.144,,,0.0,1.437,-0.645,0.132,-0.469,0.092,3.041,0.637,0.441,0.713,0.317,0.114,0.561,0.279,0.457,0.688,0.526,0.626,0.665,0.808,0.367,0.237,0.26,0.583,0.13,-1.281,0.25,0.5,0.25,1.0,0.25,0.25,0.25,0.5,0.0,0.25,-1.859,-2.462,,2.51,11.23,,6653942.0
MDG,0.26,,,100.0,-0.562,0.744,1.449,-1.306,-1.844,1.232,0.79,0.801,0.764,0.745,0.691,0.815,0.739,0.895,0.528,0.838,0.592,0.77,0.827,0.743,0.647,0.767,0.843,0.25,-0.753,0.75,1.0,0.75,1.0,0.75,0.75,0.75,1.0,0.25,0.5,-1.053,-0.509,,4.17,48.71,,28225177.0
MDA,0.526,2.0,8.0,100.0,0.473,1.709,2.32,2.401,0.763,-0.2,0.307,0.392,0.544,0.827,0.829,0.87,0.794,0.228,0.123,0.236,0.198,0.193,0.545,0.876,0.811,0.872,0.967,0.633,0.244,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.5,0.75,-0.545,-0.34,,1.77,14.88,,2635130.0
NAM,0.516,,,100.0,0.729,0.657,1.246,0.267,0.003,0.144,0.279,0.314,0.335,0.872,0.903,0.871,0.855,0.502,0.32,0.483,0.414,0.412,0.285,0.85,0.754,0.829,0.989,0.787,0.491,1.0,1.0,1.0,0.25,0.75,1.0,1.0,1.0,0.5,1.0,0.042,0.512,,3.35,36.81,,2489098.0
PSE,0.146,,,37.0,-0.128,-0.127,0.356,0.071,0.507,-0.71,0.537,0.218,0.526,0.636,0.739,0.606,0.567,0.436,0.504,0.297,0.63,0.55,0.404,0.585,0.709,0.693,0.365,0.524,-1.665,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.25,0.0,0.25,,,,3.51,19.42,,
RWA,0.116,,,100.0,-0.389,1.866,2.548,0.227,-1.174,0.798,0.62,0.182,0.348,0.267,0.111,0.257,0.421,0.806,0.135,0.833,0.841,0.7,0.377,0.782,0.714,0.65,1.0,0.486,2.977,0.25,0.25,0.5,0.25,0.75,0.75,0.75,1.0,0.0,0.25,0.274,0.069,,3.91,32.03,,13146362.0
SOM,0.105,,,0.0,-0.62,-0.668,-1.647,-1.561,-2.207,1.647,0.848,0.84,0.897,0.302,0.232,0.457,0.202,0.917,0.96,0.897,0.645,0.744,0.922,0.369,0.131,0.23,0.733,0.096,-0.96,0.25,0.5,0.25,1.0,0.0,0.25,0.25,0.75,0.0,0.25,-2.131,-2.581,,6.45,116.52,,16537016.0
LKA,0.368,2.0,8.0,100.0,0.231,0.815,1.702,0.156,0.515,0.58,0.523,0.4,0.742,0.671,0.566,0.685,0.767,0.566,0.231,0.406,0.63,0.648,0.61,0.717,0.75,0.784,0.659,0.448,-0.045,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,-0.079,-0.089,,2.01,6.97,,21919000.0
SWZ,0.111,,,100.0,0.304,-0.262,0.057,-0.164,0.308,1.36,0.655,0.535,0.481,0.316,0.407,0.123,0.402,0.491,0.414,0.414,0.788,0.378,0.495,0.327,0.19,0.241,0.53,0.3,-0.895,0.25,0.0,0.5,0.5,0.0,0.25,0.25,0.5,0.0,0.25,-0.753,-0.041,,2.89,50.85,,1180655.0
TJK,0.043,2.0,8.0,100.0,-1.668,-1.361,-1.388,-1.528,-1.228,-1.166,0.955,0.701,0.872,0.216,0.173,0.124,0.337,0.942,0.895,0.868,0.851,0.891,0.837,0.424,0.347,0.346,0.597,0.065,1.689,0.25,0.0,0.25,1.0,0.25,0.25,0.5,0.5,0.0,0.0,-0.76,-0.5,,3.21,32.46,,9543207.0
TGO,0.243,2.0,8.0,100.0,1.027,2.68,1.199,0.973,-0.097,1.707,0.763,0.58,0.771,0.733,0.721,0.697,0.795,0.481,0.267,0.452,0.612,0.404,0.729,0.778,0.713,0.672,0.978,0.289,-0.649,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.25,0.5,-0.731,-0.891,,4.39,66.2,,8442580.0
TTO,0.632,2.0,8.0,100.0,0.945,1.552,2.185,2.527,1.749,-2.039,0.139,0.287,0.065,0.886,0.919,0.901,0.852,0.194,0.128,0.069,0.15,0.178,0.098,0.884,0.85,0.863,0.966,0.888,0.489,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.174,0.11,,1.57,17.51,,1518147.0
TKM,0.033,,,100.0,-1.919,-0.035,0.64,0.795,-0.119,-2.205,0.947,0.749,0.896,0.107,0.18,0.056,0.072,0.566,0.5,0.637,0.603,0.624,0.909,0.416,0.108,0.288,0.835,0.059,1.274,0.0,0.0,0.0,1.0,0.0,0.25,0.5,1.0,0.0,0.0,-1.023,-0.202,,2.79,44.36,,6250438.0
PSE,0.048,,,0.0,1.905,-1.873,-1.033,-0.923,-0.311,0.569,0.763,0.494,0.43,0.259,0.194,0.275,0.3,0.48,0.798,0.351,0.923,0.682,0.346,0.376,0.57,0.432,0.112,0.284,-1.464,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.0,0.0,0.0,,,,,,,
SOM,0.248,,,100.0,-0.456,-1.164,-2.048,-1.504,-0.89,0.885,0.715,0.625,0.618,0.684,0.84,0.625,0.604,0.836,0.925,0.801,0.604,0.668,0.65,0.448,0.561,0.61,0.193,0.319,0.568,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.0,0.25,0.5,,,,,,,
UZB,0.085,2.0,8.0,100.0,-0.197,0.622,1.305,0.659,-0.169,-1.475,0.888,0.692,0.708,0.361,0.509,0.234,0.331,0.467,0.418,0.577,0.329,0.49,0.777,0.642,0.416,0.54,0.954,0.183,1.129,0.25,0.25,0.25,0.75,0.5,0.5,0.75,1.0,0.0,0.25,-0.616,-0.437,,3.06,20.34,,34232050.0
AUT,0.789,,,100.0,1.206,1.764,3.425,2.168,2.082,-0.547,0.072,0.073,0.077,0.927,0.978,0.953,0.863,0.028,0.05,0.068,0.047,0.067,0.076,0.928,0.913,0.899,0.996,0.958,0.232,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.606,0.888,,1.44,3.21,,8916864.0
BHR,0.051,,,80.0,-1.769,-0.588,0.41,1.173,1.019,1.817,0.879,0.551,0.63,0.278,0.341,0.111,0.366,0.546,0.592,0.496,0.817,0.934,0.552,0.495,0.489,0.435,0.575,0.195,-2.761,0.25,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.391,-0.61,,1.86,6.69,,1477469.0
BRB,0.68,,,100.0,0.679,2.122,1.992,1.44,2.048,-2.477,0.108,0.296,0.078,0.92,0.937,0.927,0.912,0.126,0.081,0.082,0.055,0.116,0.073,0.885,0.822,0.901,0.965,0.924,1.79,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.444,1.121,,1.71,11.66,,280693.0
BEL,0.828,,,100.0,1.815,2.365,2.937,2.988,2.623,-1.782,0.046,0.07,0.023,0.954,0.981,0.963,0.928,0.061,0.053,0.052,0.038,0.025,0.031,0.947,0.972,0.883,0.999,0.977,1.021,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.079,0.521,,1.58,3.38,,11538604.0
BIH,0.34,,,100.0,0.768,0.877,1.875,1.039,0.535,1.18,0.598,0.803,0.703,0.816,0.829,0.77,0.861,0.381,0.296,0.227,0.577,0.375,0.735,0.832,0.717,0.874,0.932,0.399,-1.705,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.25,0.5,-1.076,-0.447,,1.52,5.5,,3318407.0
BGR,0.498,,,100.0,0.732,1.972,2.98,1.838,0.699,0.464,0.298,0.48,0.517,0.849,0.895,0.797,0.871,0.146,0.076,0.155,0.08,0.121,0.557,0.901,0.834,0.916,0.982,0.637,-0.971,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,-0.214,0.402,,1.56,6.53,,6934015.0
COM,0.112,2.0,8.0,100.0,0.982,0.774,1.007,-0.366,-0.654,1.936,0.891,0.78,0.869,0.514,0.422,0.579,0.539,0.562,0.503,0.505,0.559,0.459,0.848,0.565,0.523,0.333,0.831,0.149,-0.383,0.5,0.5,0.5,1.0,0.5,0.25,0.5,1.0,0.0,0.25,-1.643,-0.287,,4.07,64.85,,806166.0
HRV,0.66,2.0,8.0,100.0,0.6,2.107,2.897,1.801,1.598,0.257,0.146,0.248,0.218,0.863,0.946,0.842,0.811,0.138,0.12,0.128,0.287,0.25,0.292,0.893,0.847,0.867,0.991,0.823,-0.364,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.425,0.607,,1.48,4.45,,4047680.0
CUB,0.06,,,100.0,2.135,1.501,2.052,1.946,1.566,-0.41,0.826,0.496,0.52,0.305,0.537,0.05,0.316,0.15,0.101,0.364,0.769,0.206,0.576,0.687,0.347,0.71,0.999,0.146,-0.45,0.25,0.0,0.25,0.5,0.25,0.75,0.75,1.0,0.0,0.0,-0.204,0.596,,1.49,4.82,,11300698.0
CYP,0.693,,,100.0,1.932,1.866,2.835,2.638,1.66,0.147,0.164,0.238,0.187,0.885,0.966,0.896,0.804,0.135,0.06,0.084,0.073,0.188,0.202,0.884,0.874,0.829,0.96,0.88,0.806,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.84,0.289,,1.36,2.22,,1237537.0
CZE,0.719,,,100.0,1.148,1.298,2.923,2.86,2.294,-0.66,0.151,0.168,0.29,0.916,0.985,0.933,0.84,0.045,0.049,0.052,0.05,0.042,0.22,0.887,0.93,0.814,0.938,0.843,0.66,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.911,0.912,,1.76,3.21,,10697858.0
DNK,0.886,,,100.0,1.571,3.302,3.3,2.893,2.279,-3.26,0.007,0.038,0.002,0.939,0.97,0.982,0.876,0.01,0.014,0.048,0.009,0.015,0.002,0.954,0.964,0.917,1.0,0.997,2.248,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84,0.92,,1.68,3.97,,5831404.0
GNQ,0.051,,,100.0,-1.76,-0.217,-0.572,-1.127,-1.699,0.479,0.966,0.831,0.92,0.204,0.192,0.143,0.275,0.705,0.649,0.759,0.882,0.831,0.858,0.457,0.329,0.246,0.783,0.044,-0.222,0.25,0.0,0.25,1.0,0.25,0.25,0.5,0.75,0.0,0.0,-1.216,-0.222,,4.35,81.03,,1596049.0
EST,0.843,,,100.0,1.576,2.875,3.275,2.829,2.026,-0.488,0.038,0.067,0.03,0.959,0.975,0.967,0.945,0.02,0.028,0.073,0.039,0.128,0.032,0.949,0.951,0.92,0.995,0.979,0.321,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.299,0.71,,1.59,2.4,,1329522.0
FJI,0.273,,,100.0,1.591,0.61,0.822,-0.311,0.054,-1.129,0.454,0.389,0.296,0.69,0.783,0.591,0.709,0.509,0.503,0.531,0.641,0.622,0.29,0.673,0.664,0.496,0.869,0.625,-0.176,0.75,0.5,0.75,0.25,0.75,0.5,0.75,1.0,0.25,0.5,0.59,0.662,,2.36,24.8,,920422.0
FIN,0.842,,,100.0,1.837,3.633,2.904,2.634,2.365,-1.318,0.014,0.048,0.007,0.962,0.987,0.964,0.945,0.019,0.035,0.041,0.015,0.028,0.011,0.946,0.941,0.91,1.0,0.993,2.578,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.901,0.982,,1.37,1.58,,5529543.0
GRC,0.67,,,100.0,2.081,2.132,3.003,1.851,2.401,-1.341,0.146,0.124,0.173,0.905,0.956,0.886,0.89,0.081,0.088,0.092,0.045,0.086,0.213,0.918,0.919,0.884,0.97,0.896,-0.572,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.403,0.115,,1.39,4.31,,10698599.0
GUY,0.393,2.0,8.0,100.0,1.046,1.086,1.201,0.524,0.21,1.044,0.404,0.539,0.388,0.9,0.954,0.902,0.866,0.284,0.322,0.322,0.321,0.378,0.406,0.879,0.821,0.852,0.981,0.646,-2.04,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.75,-0.446,-0.138,,2.49,28.68,,797202.0
HKG,0.207,,,100.0,-0.789,2.24,2.411,1.627,1.872,3.413,0.342,0.387,0.073,0.698,0.859,0.433,0.816,0.204,0.074,0.075,0.446,0.152,0.077,0.85,0.85,0.781,0.941,0.824,-1.371,0.75,0.5,1.0,0.0,1.0,0.75,1.0,1.0,0.25,0.5,,,,0.89,1.97,,
ISL,0.785,2.0,8.0,100.0,2.16,2.119,2.995,2.717,1.635,-1.188,0.043,0.055,0.013,0.957,0.989,0.949,0.947,0.04,0.073,0.103,0.061,0.048,0.012,0.927,0.943,0.856,0.997,0.983,0.512,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.476,1.375,,1.72,1.89,,366463.0
ISR,0.641,2.0,8.0,100.0,0.687,1.748,1.907,1.903,1.796,1.019,0.098,0.098,0.183,0.845,0.898,0.829,0.816,0.186,0.119,0.091,0.225,0.301,0.123,0.882,0.85,0.842,0.974,0.923,-0.771,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.052,-0.888,,2.94,3.45,,9215100.0
KWT,0.289,2.0,8.0,100.0,-0.158,-0.448,-0.044,0.848,1.348,-1.511,0.399,0.698,0.414,0.559,0.742,0.39,0.549,0.242,0.468,0.183,0.227,0.271,0.466,0.417,0.538,0.38,0.34,0.651,-1.01,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.75,-0.195,0.225,,2.1,7.42,,4360444.0
LTU,0.75,2.0,8.0,100.0,1.664,1.95,2.045,3.148,2.22,-2.474,0.039,0.165,0.044,0.924,0.976,0.901,0.91,0.062,0.049,0.067,0.023,0.022,0.115,0.919,0.915,0.882,0.982,0.954,2.027,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.015,0.921,,1.49,3.86,,2794885.0
LUX,0.788,,,100.0,1.804,2.145,2.915,2.781,2.411,-2.32,0.053,0.05,0.01,0.922,0.96,0.958,0.859,0.025,0.093,0.043,0.027,0.111,0.027,0.861,0.931,0.653,0.992,0.975,1.577,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.75,1.0,1.793,1.212,,1.36,2.31,,630419.0
