,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent_Birth_Rate_2019,GGHD_as_CHE_2019,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015,GDP_2019,GDP_per_Capita_2019,Gini_2019,Share_of_Pop_in_Extreme Poverty_2019,Urban_population_percent_2019
BGD,2.031,1142.29085,4925.721,,157.0,164913055.0,74.0,20.0,24.0,7.0,1.0,0.0122699998319149,0.2782526016235351,1.0,-1.149,1.698,2.014090776443481,,3.0,2.0,1.0,2.9453373940268714,0.8812946677207947,,0.6921736001968384,10.0,0.7666670083999634,0.316125374,0.2792874717712402,0.079385842,351231654603.692,2129.79896954606,,,37.405
BGR,1.58,69.39941046,20592.455,7.77,7.0,6975761.0,39.29,59.0,152.0,3.0,1.0,1.1649999618530271,0.284749686717987,1.2068965435028076,0.411,1.854,3.0591042041778564,0.7417882680892944,,,,4.486969194733023,2.024151086807251,1.4211912155151367,0.8536325097084045,18.0,0.8444443345069885,0.2486989021301269,0.0008209042996168137,0.2101547910715697,68631726289.2794,9838.60058985384,40.3,0.9236337,75.347
BHR,1.857,1660.526316,38651.6,,15.0,1483756.0,8.59,58.0,146.0,5.0,1.0,0.4697999954223633,0.3664514124393463,1.25,-1.49,-0.306,1.6133891344070437,,,,,6.958589580045029,2.720320701599121,,0.7721707224845886,11.0,,,,,40446808510.6383,27259.7438599327,,,89.394
BHS,1.398,34.26573427,,2.69,82.0,394675.0,,52.0,,4.0,0.0,,,1.0,,,,,,,,,1.498300313949585,,,,,0.0,0.4827311706542969,0.169465552292749,13016200000.0,32979.5401279534,,,83.132
BIH,1.368,73.7254902,12142.863,,5.0,3345533.0,9.74,69.0,150.0,3.0,1.0,0.2854999899864197,0.3199112117290497,1.25,-0.316,-0.136,1.524034857749939,,,,,3.8774729710281592,1.4016247987747192,1.620054006576538,0.5631220936775208,14.0,0.6777780055999756,0.1361037158966064,1.93247789866291e-06,0.2247006429191528,20482608755.379,6122.3753450882,,,48.626
BLR,1.382,46.79025737,18699.799,,1.0,9419758.0,,70.0,107.0,3.0,1.0,0.9086999893188475,0.2918162047863006,0.9090909361839294,-1.354,1.302,3.719016551971436,,,,,4.352386309740822,2.8757266998291016,,0.5413789749145508,18.0,0.877777636,0.273195744,0.1777017974853515,0.2477671,64410122847.3508,6837.76832136779,25.3,0.0,79.044
BLZ,2.106,15.1249452,,,86.0,385829.0,68.03,69.0,149.0,4.0,0.0,,,0.9210526943206788,,,,,,,,4.018734458676564,1.6401565074920654,,,,0.5444446802139282,0.3155258221562015,0.2679800987243652,0.2390243902439024,2388300000.0,6190.04792278445,,,45.866
BMU,1.3,1292.0,,,,64107.0,3.07,,,,,,,,,,,,,,,,,,,,,,,,7423465000.0,115798.040775578,,,100.0
BOL,2.688,9.165512785,6481.3906,1.36,176.0,11671386.0,,71.0,25.0,4.0,1.0,0.5020999908447266,0.2649505138397217,0.7865168452262878,0.088,0.047,1.587055802345276,0.7120728492736816,3.0,2.0,3.0,3.988009799352736,2.0215871334075928,,0.8739351630210876,13.0,0.7888889908790588,0.2573839569091797,0.066589618,0.2369854482619488,40895322843.7851,3503.8960106182,41.6,1.9205352,69.773
BRA,1.703,23.04484232,14640.076,2.43,61.0,207455459.0,49.78,41.0,19.0,4.0,1.0,0.7382000088691711,0.287718803,1.5555555820465088,0.971,1.979,1.135036587715149,0.5998179316520691,,,,4.799062754951231,1.5190163850784302,,0.8713349103927612,12.0,0.7222223877906799,0.2839164161682129,0.0275878,0.2558397467244795,1873288205186.45,9029.83326742175,53.5,5.4092226,86.824
BRB,1.623,637.2093023,11545.848,5.66,47.0,281207.0,,45.0,147.0,4.0,0.0,,,1.0,1.491,1.407,2.6737873554229736,,,,,,1.1435531377792358,1.7822881937026978,0.5880244374275208,,,0.2860214996337891,0.095913982,0.2628900949796472,5788288000.0,20583.7265786414,,,31.158
BRN,1.819,75.71157495,,3.88,45.0,442680.0,10.91,94.0,151.0,2.0,0.0,,,1.0,,,,,,,,6.9304474836447065,3.148186206817627,,,,,,,0.023174710316121,13469235348.2211,30426.5730284202,,,77.942
BTN,1.46,18.91117479,,2.12,62.0,764824.0,7.8,74.0,53.0,7.0,1.0,0.6274999976158142,0.2909520864486694,0.7142857313156128,1.985,-0.019,1.3476219177246094,,4.0,4.0,2.0,,,,,14.0,0.6888890266418457,0.6323489379882813,0.024595196,0.1461791642816256,2735683570.28851,3576.87987077877,,,41.612
BWA,2.883,3.541368906,16351.91,2.26,118.0,2332083.0,50.22,71.0,68.0,8.0,1.0,0.6212999820709229,0.2933507859706878,1.0,2.131,1.69,2.326347827911377,,,,,5.203722380094548,1.6570559740066528,,0.6407312750816345,18.0,0.4555553495883941,0.382913704,0.4386930465698242,0.247116702,16725908148.5481,7172.08956480028,,,70.172
CAF,6.008,7.064432245,596.393,,847.0,4944703.0,,11.0,71.0,8.0,1.0,-1.541000009,0.3370501101016998,0.4347825944423675,-0.915,-1.611,0.2404260337352752,,2.0,0.0,0.0,1.9377650627866716,1.0345585346221924,,0.3953488767147064,1.0,0.5222226977348328,,,,2221301351.43918,449.228467602439,,,41.77
CAN,1.47,3.752786328,45529.645,2.56,11.0,37618495.0,6.21,70.0,66.0,6.0,1.0,2.095000028610229,0.3394995033740997,2.0,2.873,2.229,1.8627318143844604,0.5701025128364563,,,,6.212403666238485,1.055569767951965,1.0694118738174438,0.8154848217964172,,,0.5615734481811523,0.0096262,0.2710323105559228,1743725183672.52,46352.8693445211,31.7,0.24863754,81.482
CHE,1.48,195.65,63323.254,4.48,7.0,8575280.0,1.97,34.0,6.0,3.0,1.0,2.2720000743865967,0.3386625051498413,1.0,2.819,2.331,2.8070337772369385,1.0,,,,6.302472064307129,1.2599023580551147,1.1591111421585083,0.9877081513404846,,,0.6189429473876953,0.007877602,0.2076365909700089,721369112726.724,84121.9310304414,34.0,0.017386846,73.849
CHL,1.545,23.01680901,22740.72,2.03,15.0,19197744.0,18.9,51.0,72.0,4.0,1.0,1.503000020980835,0.2846347093582153,1.0,1.428,2.223,1.9818145036697388,0.7417882680892944,,,,5.555684089603452,1.9588158130645752,1.3438063859939575,0.8704745173454285,18.0,0.9555556774139404,0.3307814025878906,0.0106922626495361,0.1667958925093137,278285058719.466,14495.716721687,,,87.643
CHN,1.496,143.4792677,19238.18,5.0,20.0,1407745000.0,,56.0,110.0,2.0,1.0,0.7145000100135803,0.2847805917263031,1.076923131942749,-0.474,1.552,1.9144710302352903,0.5998179316520691,,,,5.0333633776611935,1.1055315732955933,,0.970062792,16.0,0.699999988,0.2657015037536621,0.0193811798095703,0.192464528,14279968506271.7,10143.8602206165,38.2,0.0,60.308
CIV,4.538,62.06918239,4011.7122,,483.0,28193009.0,96.57,30.0,64.0,8.0,1.0,-0.071359999,0.2735998928546905,1.2068965435028076,1.466,0.2,0.9944579005241394,,3.0,2.0,2.0,3.239743275791777,0.7306226491928101,,0.7171844840049744,11.0,0.5888890027999878,0.1274971580505371,0.305494327545166,0.156337581,60382894697.3557,2141.76836170115,,,51.239
CMR,4.623,41.460938,2812.2148,,440.0,25506095.0,,11.0,108.0,8.0,1.0,-0.406899989,0.2749685943126678,0.4347825944423675,-1.943,-0.578,1.6341850757598877,,3.0,2.0,2.0,2.784163527178681,0.6953257322311401,,0.7405285239219666,11.0,0.5555556416511536,0.3335486295659728,0.1296989917755127,0.1548200035095215,39667757527.6578,1555.22660476477,,,56.968
COD,6.253,29.09728502,844.172,,541.0,92947442.0,,16.0,111.0,8.0,1.0,-0.99119997,0.286982,0.2857142984867096,-2.164,-0.011,0.5791321396827698,,3.0,1.0,1.0,2.007332772452692,1.0155140161514282,,0.5920843482017517,3.0,0.5777776837348938,0.3169020531684206,0.1464044952392578,0.1083300018310546,51775829877.2088,557.044161335917,,,45.046
COG,4.296,11.83894583,4187.507,,292.0,5616661.0,,44.0,112.0,8.0,1.0,-0.46540001,0.3014555871486664,0.4347825944423675,-0.895,1.275,1.468383789,,2.0,1.0,1.0,,1.2444779872894287,,0.6513054966926575,11.0,0.5000003576278687,,,0.1772378606533139,13976637779.9763,2488.42466724916,,,67.373
COL,1.765,41.7260027,14468.964,1.69,65.0,49907985.0,57.46,70.0,15.0,4.0,1.0,0.6180999875068665,0.2845571935176849,0.9090909361839294,0.253,1.517,0.701710045,0.6674997210502625,,,,5.263038742318502,2.409106492996216,,0.8667943477630615,10.0,0.8444443345069885,0.3195435142517089,0.0379879164695739,0.201,323031701192.84,6472.54544924705,51.3,5.2847376,81.104
COM,4.125,395.1612903,1900.3983,,237.0,786578.0,,16.0,153.0,8.0,1.0,-0.938199997,0.3421224057674408,0.7142857313156128,-0.706,-1.075,0.6692437529563904,,2.0,1.0,0.0,,,,,,0.422221690416336,,0.1260106372833252,0.1108850652659486,1195019531.9011,1519.26386436068,,,29.164
CPV,1.932,123.0769231,7202.767,,42.0,514104.0,,63.0,70.0,8.0,1.0,0.4860000014305115,0.2899293005466461,1.0,0.919,-0.724,3.719016551971436,,4.0,4.0,3.0,2.890545316104991,1.189928650856018,1.5054609775543213,0.5869739055633545,,0.6666666269302368,0.3160452270507812,0.2010445594787597,0.1932726401533301,2252177133.74705,4380.7811916403,,,66.195
CRI,1.632,91.24559342,15496.82,1.15,19.0,4999553.0,41.86,73.0,73.0,4.0,1.0,0.8695999979972839,0.2905625998973846,0.9090909361839294,2.207,2.161,1.8662956953048704,0.726930559,,,,0.0,1.1057645082473757,1.3346189260482788,0.8613243699073792,18.0,0.8444443345069885,0.2933130264282226,0.090836706,0.1317355699829009,64417670521.3545,12884.6859951989,48.2,1.0571395,80.076
CUB,1.551,105.7685081,7648.704,4.19,40.0,11202846.0,50.34,89.0,155.0,4.0,1.0,0.5659999847412109,0.3301011919975281,0.8139535188674927,-0.988,0.105,2.376030921936035,0.5849602222442627,,,,2.438191180097649,2.0368990898132324,,0.7182924151420593,18.0,,0.2280911636352539,0.0,0.3359125381027581,103427600000.0,9232.26115935183,,,77.109
CUW,1.6,321.3252236,,,,157441.0,,,,,,,,,,,,,,,,,,,,,,,,,3026124134.07821,19220.6866958303,,,89.098
CYM,,234.2916667,,,,67327.0,,,,,,,,,,,,,,,,,,,,,,,,,5941896607.58643,88254.2903677044,,,100.0
CYP,1.332,119.3722944,31523.498,,64.0,1286671.0,6.68,54.0,156.0,3.0,1.0,0.9259999990463256,0.355223686,0.3703703582286834,1.473,0.428,0.4637037515640259,,,,,5.6469475577602735,2.4834084510803223,1.653226017951965,0.5548259019851685,,,0.3655863189697265,0.0009212888777256012,0.2400181436752282,26196667099.5303,29703.052734375,31.2,0.1538318,66.805
CZE,1.71,136.1812298,32247.395,6.6,3.0,10671870.0,9.85,85.0,157.0,3.0,1.0,1.5859999656677246,0.3310540914535522,1.2068965435028076,1.777,2.185,3.145153045654297,,,,,5.129258686374185,1.2128030061721802,1.5627477169036863,0.6229879260063171,18.0,,0.3778861236572265,0.0,0.1897642942378225,256794209028.77,24062.7190013343,25.3,0.0,73.921
DEU,1.54,234.5801899,46647.793,7.8,4.0,83092962.0,6.92,77.0,77.0,3.0,1.0,2.3010001182556152,0.3457429111003876,1.3461538553237915,3.216,2.564,3.719016551971436,0.8200467824935913,,,,6.117299066435753,1.153042197227478,,0.7555162310600281,,,0.5127950286865235,2.9097808874212205e-06,0.2266329686562341,3957208055215.68,47623.8656074829,31.8,0.24957946,77.376
DJI,2.891,38.35202761,3623.0603,,244.0,1088709.0,,53.0,113.0,5.0,1.0,-0.428799987,0.3336696922779083,0.5882353186607361,0.333,-0.641,1.3767808675765991,,2.0,1.0,2.0,,2.719222307,,0.6925323605537415,,0.4666666686534881,,,0.2013027214430947,3088853638.56832,2837.17103336917,,,77.915
DMA,1.611,90.66666667,8879.6455,,,67880.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,611537037.037037,9009.09011545429,,,70.786
DNK,1.7,130.732972,50689.68,2.59,5.0,5814422.0,2.02,84.0,158.0,3.0,1.0,2.697000026702881,0.3429267108440399,1.4893616437911987,3.442,2.246,1.880793571472168,0.8200467824935913,,,,6.384108949103697,1.3655987977981567,1.0501127243041992,0.999714970588684,,,0.6305111694335938,0.0,0.455734617,345401473012.615,59404.2663247723,27.7,0.25140718,87.994
DOM,2.344,205.4428808,17713.52,1.42,103.0,10894043.0,,61.0,114.0,4.0,1.0,0.5985999703407288,0.2931641936302185,1.029411792755127,-0.456,2.298,1.7316269874572754,0.5998179316520691,,,,3.818722084571132,2.0681724548339844,,0.8358872532844543,16.0,0.7888889908790588,0.2896478652954101,0.07584507,0.133646494402659,88941372558.2397,8164.22080932117,41.9,0.83268654,81.828
DZA,2.988,14.89163385,13506.444,,77.0,43294546.0,11.0,60.0,103.0,5.0,1.0,0.1428000032901764,0.3010169863700866,1.25,-0.802,-0.04,1.6849408149719238,,,,,5.572534184305149,2.1954774856567383,1.6800544261932373,0.6859911680221558,12.0,0.5333336591720581,0.4460492706298828,0.1724723815917968,0.1418766715636418,193459662090.677,4468.45341883656,,,73.189
ECU,2.088,58.24206797,10124.076,1.32,74.0,17340021.0,66.7,63.0,75.0,4.0,1.0,0.5636000037193298,0.281937688589096,1.014492750167847,0.136,1.022,1.661266207695007,0.7417882680892944,,,,5.082777480740232,1.2566317319869995,,0.872389555,14.0,0.7222226858139038,0.3046160316467285,0.1311465263366699,0.1541895045768989,107595829000.0,6205.05759479761,45.7,3.5835843,63.986
EGY,3.001,81.49178763,13205.406,1.13,18.0,107553158.0,,28.0,13.0,5.0,1.0,0.2569000124931335,0.2909125983715057,0.9090909361839294,-0.91,-1.077,0.9002259969711304,0.5998179316520691,,,,4.098191877913334,2.306382417678833,,0.7771598100662231,11.0,0.911111295223236,0.313450813293457,0.085232525,0.1049785179426326,318678815489.749,2962.98892023003,31.9,1.4670148,42.73
ERI,3.997,52.01980198,,1.0,332.0,3240194.0,,16.0,115.0,8.0,1.0,-1.233999968,0.3440529108047485,0.2857142984867096,-2.084,-0.91,2.053748846054077,,1.0,1.0,2.0,,4.116648674011231,,0.5556990504264832,10.0,0.2777779996395111,,,,,,,,40.712
ESP,1.23,92.36367281,34123.387,2.95,3.0,47134837.0,5.96,71.0,96.0,3.0,1.0,2.003000020980835,0.348742813,1.0,2.64,2.296,1.9953932762146,1.0,,,,5.788242477868844,1.664713740348816,1.543729543685913,0.992060661,,,0.4477797317504883,0.0005336671695113182,0.2183114130298362,1403496387686.27,29776.2011500384,34.3,0.79381347,80.565
EST,1.66,31.61122906,30067.395,4.46,5.0,1326898.0,8.52,74.0,161.0,3.0,1.0,1.7020000219345093,0.3236992061138153,0.8860759735107422,3.012,2.251,3.719016551971436,,,,,5.867700638,1.7691216468811035,1.382157564163208,0.5956178903579712,18.0,,0.3543363189697265,0.0,0.2239082559747185,31873748770.0313,24021.2501413306,30.8,0.5569404,69.051
ETH,4.323,82.95,2289.409,,294.0,115737383.0,,23.0,38.0,8.0,1.0,0.1020999997854232,0.269450307,0.4347825944423675,-0.071,-0.653,1.8521798849105835,0.4444594383239746,5.0,3.0,3.0,1.6842969392572968,0.8622848391532898,,0.9454492926597596,12.0,0.6888890266418457,,0.3193355560302734,0.12736284064005,95912607722.3032,828.70897229725,,,21.225
FIN,1.35,17.65054294,40701.465,2.83,9.0,5521606.0,4.1,80.0,163.0,3.0,1.0,2.336999893188477,0.3431333005428314,1.4893616437911987,2.846,1.771,2.6283507347106934,0.8200467824935913,,,,6.431576545686359,1.7125107049942017,0.8744204044342041,0.8110790252685547,,,0.4975714111328125,0.0,0.3105230751607314,267014821129.411,48358.1807773701,27.7,0.03882923,85.446
