,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent_Birth_Rate_2019,GGHD_as_CHE_2019,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015,GDP_2019,GDP_per_Capita_2019,Gini_2019,Share_of_Pop_in_Extreme Poverty_2019,Urban_population_percent_2019
GTM,2.61,134.2758492,7969.431,0.43,100.0,17103803.0,73.12,38.0,78.0,4.0,1.0,0.1455000042915344,0.2903974950313568,1.029411792755127,-0.438,1.607,1.3407549858093262,0.5767655372619629,,,,2.8053828085690147,1.294408082962036,,0.8593969941139221,6.0,0.7222223877906799,0.3534382247924805,0.043482895,0.1015927594489825,77172317258.6478,4511.99755157656,,,51.439
GUM,2.623,331.4814815,,,,161808.0,,,,,,,,,,,,,,,,,,,,,,,,,6355000000.0,39274.9431424899,,,94.859
GUY,2.44,3.835407671,,2.25,110.0,807665.0,,59.0,166.0,4.0,1.0,0.2082999944686889,0.3062218129634857,1.0,1.517,1.368,2.286586046218872,,4.0,1.0,2.0,4.119054378561946,1.6920043230056765,1.748371124267578,0.593536913,,0.5666669607162476,,,,5173760191.84652,6405.82443444562,,,26.689
HKG,1.064,6783.109405,,,,7507900.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,363074545072.389,48359.0011950597,,,100.0
HND,2.427,67.92385378,5186.5303,0.71,67.0,9943633.0,,39.0,27.0,4.0,1.0,0.3418000042438507,0.2616552114486694,0.875,0.306,0.876,1.416394591331482,0.726930559,4.0,2.0,2.0,3.691244355648256,1.115808606147766,0.9047024846076964,0.8437952399253845,10.0,0.7666670083999634,0.3034571647644043,0.043000168800354,0.1800262264656442,24882225741.8119,2502.32744328073,48.2,12.742991,57.73
HRV,1.47,78.94924946,26986.752,5.6,5.0,3949390.0,8.8,82.0,154.0,3.0,1.0,1.406000018119812,0.3123045861721039,1.2068965435028076,1.102,1.934,3.719016551971436,,,,,5.345409975567071,1.683127999305725,1.771326184272766,0.6816145777702332,18.0,0.8000003099441528,,,,61467582193.6824,15563.8167397199,28.9,0.25992584,57.242
HTI,2.919,362.5907112,1546.4222,5.03,349.0,11105163.0,,10.0,26.0,4.0,1.0,-1.15199995,0.2913728058338165,0.5882353186607361,-0.724,-1.61,1.3407549858093262,0.6132298111915588,2.0,1.0,0.0,0.006854303,0.0111571559682488,,0.8875668048858643,3.0,0.4777780175209045,,,0.1340609332363966,15016090929.5125,1352.17204191532,,,56.192
HUN,1.55,110.4606208,29451.855,6.76,14.0,9771141.0,21.09,68.0,210.0,3.0,1.0,1.5169999599456787,0.2841117084026336,1.0,1.395,2.409,3.719016551971436,0.7417882680892944,,,,4.760631678196508,1.5968471765518188,,0.7608461976051331,18.0,0.8555556535720825,0.2613934135437011,0.001517756,0.2603589863140729,164020460331.659,16786.2136399075,30.0,0.30170247,71.644
IDN,2.215,132.410009,12801.671,1.4,158.0,272489381.0,,49.0,56.0,2.0,1.0,0.6743000149726868,0.287265807,0.9210526943206788,0.609,2.123,1.589267611503601,0.6050717234611511,,,,3.414259618351948,1.2849074602127075,,0.6121739745140076,14.0,0.8444446325302124,0.4341484069824218,0.0248014426231384,0.1032803710261045,1119099871385.79,4106.94856173421,35.4,3.3554103,55.985
IMN,1.614,145.3842105,,,,83957.0,,,,,,,,,,,,,,,,,,,,,,,,,7314967866.28289,87127.5517977404,,,52.735
IND,2.109,411.8858869,7765.593,1.62,116.0,1389030312.0,10.6,35.0,39.0,7.0,1.0,0.7670000195503235,0.3120495975017547,1.0,0.247,2.407,1.0600980520248413,0.726930559,,,,3.692679804848696,1.1430246829986572,,0.7142000794410706,12.0,0.7777780294418335,,,,2835606256558.19,2041.42863698585,33.8,13.204494,34.472
IRL,1.71,64.9586297,60257.082,2.91,6.0,4934340.0,5.42,74.0,81.0,3.0,1.0,2.009000062942505,0.3538999855518341,2.058823585510254,2.309,2.154,2.025071620941162,,,,,5.372024467544869,1.083827257156372,,0.7166092395782471,,,0.5321871566772461,0.0,0.1916182186013023,407124824064.995,82508.4659883582,30.8,0.058011558,63.405
IRN,1.77,45.42261521,18473.066,,21.0,87051648.0,27.16,44.0,79.0,5.0,1.0,0.5042999982833862,0.2854408025741577,1.399999976158142,0.506,-1.634,1.4395314455032349,0.5998179316520691,,,,4.911935333985692,2.100797653198242,,0.9920682311058044,14.0,0.7333333492279053,0.512000389,0.1459066295623779,0.071364223,333519146339.191,3831.27894763337,36.5,0.72633666,75.391
IRQ,3.604,73.74976976,13071.94,,73.0,41192171.0,,49.0,80.0,5.0,1.0,-0.632700026,0.2983947098255157,0.9090909361839294,-1.516,-0.291,0.2663106024265289,,,,,5.602089607105592,1.9279444217681885,,0.8076910376548767,5.0,0.5222223401069641,0.5482216644287109,0.2933496284484863,0.012266229,233636097800.338,5671.8568632942,,,70.678
ISL,1.74,3.172069825,42145.594,2.83,3.0,360563.0,4.39,83.0,168.0,3.0,0.0,,,1.3461538553237915,2.308,2.259,3.719016551971436,,,,,0.0,0.5636260509490967,1.085524559020996,0.881928563,,,0.5219155120849609,0.007827966,0.3314141099306892,24681343649.2952,68452.23622306,,,93.855
ISR,3.01,352.310536,36648.918,3.07,3.0,9054000.0,7.7,65.0,169.0,5.0,1.0,1.7549999952316284,0.3625743985176086,0.9090909361839294,1.003,2.353,2.376030921936035,,,,,7.635865578152724,3.183234453201294,,0.6511628031730652,,,0.3901540374755859,0.00952777,0.2589256974537043,399651065197.871,44140.8289372511,38.3,0.725289,92.501
ITA,1.27,205.6265724,36224.293,3.18,5.0,59729081.0,3.68,74.0,82.0,3.0,1.0,1.5210000276565552,0.3436062932014465,0.9722222089767456,1.32,2.308,1.3722038269042969,0.7566459774971008,,,,5.905771892220001,1.930173397064209,1.7175920009613037,0.8670752644538879,,,0.4627211761474609,0.0,0.2981524529320138,2019606796583.53,33812.788724868,34.6,0.9943459,70.736
JAM,1.37,249.4921514,7481.6685,1.71,93.0,2823271.0,,65.0,120.0,4.0,1.0,0.6489999890327454,0.2866654098033905,1.0,1.484,-0.124,1.6032476425170898,,,,,3.780567689523752,0.7854294776916504,1.6543560028076172,0.6234841346740723,14.0,0.7777780294418335,0.3702416610717773,0.07658793,0.2421333690820439,15830766570.7266,5607.24300668501,,,55.985
JOR,2.918,68.11218743,9151.479,1.37,41.0,10671891.0,,43.0,83.0,5.0,1.0,0.4557999968528747,0.3152596056461334,0.9090909361839294,0.394,-1.192,1.9773684740066528,,,,,5.166354671670205,2.600030899047852,,0.6511628031730652,,0.7444446682929993,0.209614028930664,0.081248016,0.1537748244922476,44503006338.0282,4170.1144003465,,,91.203
JPN,1.36,349.659808,38268.79,12.72,4.0,126633000.0,2.73,84.0,9.0,2.0,1.0,1.7680000066757202,0.3130797147750854,2.0,1.994,2.217,2.257129192352295,0.7944921851158142,,,,5.799068801378116,1.1085373163223269,,0.9901893734931946,12.0,,0.5231752014160156,0.01126635,0.1869014339664186,5117993853016.51,40415.9567649547,,,91.698
KAZ,2.9,6.046227359,26491.857,6.72,14.0,19209555.0,23.2,60.0,121.0,3.0,1.0,0.8112999796867371,0.2880206108093261,0.9090909361839294,-0.606,0.424,3.023341417312622,,,,,4.765982238125765,1.6118474006652832,1.2431843280792236,0.6187590956687927,17.0,0.8999999761581421,0.485201416,0.2181652641296386,0.1244125500069166,181667184854.501,9457.12614657136,28.0,0.016059816,57.54
KEN,3.469,71.18283726,3403.9238,,503.0,51202827.0,51.32,46.0,40.0,8.0,1.0,-0.07886,0.2767319083213806,1.0,-0.498,0.536,1.1442981958389282,,4.0,3.0,3.0,2.9242940042537224,0.4748608767986297,0.6125792264938354,0.3860465288162231,9.0,0.5444443225860596,0.4983959579467773,0.098904858,0.1641286091512601,100378436207.371,1960.40808854893,,,27.507
KGZ,3.3,28.40458811,5304.841,4.19,47.0,6590211.0,36.56,51.0,122.0,3.0,1.0,0.2239000052213668,0.2861293852329254,0.9090909361839294,-0.279,-0.991,1.7848848104476929,,4.0,2.0,2.0,3.0269548246024205,1.48689067363739,,0.5282174348831177,13.0,0.8222223520278931,0.2571989250183105,0.1143959426879882,0.1966486948563146,9371275264.36735,1421.99927504102,29.7,0.65906364,36.591
KHM,2.402,80.0985724,3944.2468,,214.0,16481304.0,50.56,24.0,55.0,2.0,1.0,-0.055119999,0.2933954894542694,0.4347825944423675,-1.203,-0.566,1.587055802345276,,3.0,1.0,2.0,3.088808228428288,2.5896337032318115,,0.7575739026069641,14.0,0.7666666507720947,0.2371202850341797,0.1836841964721679,0.1416823794396043,36685356407.7206,2225.87705485686,,,23.805
KIR,3.368,123.4567901,,,108.0,123921.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,216985362.338171,1750.99750920482,27.8,1.6780767,54.835
KNA,1.568,200.0,,,,46952.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,1107855555.55556,23595.4923231291,,,30.799
KOR,0.918,503.3470649,41320.9,,6.0,51764822.0,0.84,58.0,42.0,2.0,1.0,1.9609999656677248,0.3149155974388122,2.0,1.709,2.423,3.118134021759033,0.7417882680892944,,,,6.580042582130417,2.6015396118164062,,0.8836820125579834,18.0,,0.4124764251708984,0.030834472,0.1846816610883575,1651422932447.77,31902.4169048194,33.2,0.0,81.43
KWT,2.159,153.5353535,71533.516,2.35,7.0,4442316.0,5.56,88.0,171.0,5.0,1.0,0.2707000076770782,0.3359158933162689,1.6666666269302368,-0.317,-0.231,2.025071620941162,,,,,7.310712018,1.930388331413269,,0.77062881,18.0,,0.0,0.6680672454833985,0.0116567098936325,140856394870.02,31707.8737464917,,,100.0
LAO,2.571,26.86741768,7168.1904,1.27,153.0,7237636.0,,37.0,123.0,2.0,1.0,0.2660999894142151,0.2962779998779297,0.9090909361839294,-1.397,0.943,1.9773684740066528,,4.0,2.0,2.0,,3.003254175186157,,0.7258417010307312,16.0,0.711111307,0.1857142829895019,0.092857141,0.137564338862721,18740561512.5555,2589.32081035237,,,35.645
LBN,2.13,413.1964809,10341.159,2.73,20.0,5794594.0,,49.0,44.0,5.0,1.0,0.024779999628663,0.2993828952312469,0.1408450752496719,-0.406,0.275,0.7849208116531372,,,,,5.840065902064918,2.583704710006714,,0.6674418449401855,6.0,0.6555553674697876,0.2848869705200195,0.070384736,0.1323420006875035,51605959131.2741,8905.88005497437,,,88.758
LBR,4.257,41.46594684,811.2146,,668.0,5043721.0,,16.0,86.0,8.0,1.0,-0.513400018,0.2868332862854004,0.5882353186607361,-0.594,0.08,1.4118300676345823,0.4612542986869812,3.0,1.0,2.0,1.4607263162304949,0.3773292601108551,,0.5694574117660522,14.0,0.5111110210418701,,,0.1810598626104024,3319596500.0,658.164180770507,,,51.615
LBY,2.539,3.611739432,12755.204,,72.0,6951033.0,,71.0,124.0,5.0,1.0,-1.351999998,0.3330695033073425,0.9090909361839294,-1.985,-0.937,-0.10988573,0.5403871536254883,,,,,,,0.6533128023147583,3.0,0.2222220003604889,,,,69254496471.6938,9963.19489084483,,,80.393
LCA,1.424,285.2459016,10452.165,,72.0,177661.0,,50.0,,4.0,0.0,,,1.014492750167847,,,,,2.0,3.0,3.0,,,,,,0.6111109852790833,,,,2095370370.37037,11794.2056521711,,,18.754
LIE,1.48,225.2,,,,38563.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,6436467007.11932,166907.839305016,,,14.371
LKA,2.019,332.6423218,10705.481,4.02,30.0,21803000.0,,47.0,131.0,7.0,1.0,0.3370999991893768,0.2715862989425659,0.9090909361839294,-0.561,-0.82,2.575829267501831,,5.0,2.0,2.0,4.599400774,2.616236448287964,,0.6591776609420776,16.0,0.7333333492279053,0.1936910438537597,0.1801537132263183,0.1212246164960163,89014978344.1404,4082.69404871533,37.7,0.95861256,18.585
LSO,3.094,71.5085639,2312.9583,,629.0,2209405.0,,31.0,85.0,8.0,1.0,0.080530003,0.2946672141551971,1.044776201248169,0.109,-0.038,0.7995009422302246,,3.0,2.0,3.0,3.1082603853946003,0.6787135601043701,,0.5421189069747925,11.0,0.6555560231208801,0.2807880592346191,0.5123540878295898,0.427049642,2390702295.82777,1082.05706777516,,,28.585
LTU,1.61,52.4493378,30863.32,5.96,7.0,2794137.0,10.06,65.0,173.0,3.0,1.0,1.4880000352859497,0.3228135108947754,0.985915482,1.675,2.369,3.719016551971436,,,,,5.085888714438524,2.366758108139038,1.4103041887283323,0.6621450781822205,18.0,,0.3128537940979004,0.0,0.1723910422972864,55122066225.796,19727.7607453736,35.3,0.54792964,67.855
LUX,1.34,195.7528958,55484.777,4.19,6.0,620001.0,3.98,86.0,174.0,3.0,0.0,,,1.2068965435028076,3.155,1.353,3.719016551971436,,,,,6.190829402287371,1.29382586479187,,,,,0.537471924,0.0,0.2541635816932208,69890505323.5842,112726.439672814,34.2,0.101187475,91.223
LVA,1.61,36.00836282,27220.303,5.3,22.0,1913822.0,12.55,60.0,84.0,3.0,1.0,1.4739999771118164,0.3223333060741424,0.9090909361839294,2.293,2.067,2.383690834,,,,,4.959402570104785,1.296941161155701,1.6946152448654177,0.614926815,18.0,,0.3645291900634765,0.0004394529387354851,0.2063763952724885,33099503950.847,17294.9751600969,34.5,0.2391008,68.222
MAC,1.077,19428.57143,,,,672000.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,55082293844.1008,81967.699172769,,,100.0
MAF,2.485,555.7904412,,,,34267.0,26.74,,,,,,,,,,,,,,,,,,,,,,,,652206037.103874,19033.0649634889,,,
MAR,2.382,71.59085817,8400.127,0.73,76.0,36210898.0,,41.0,90.0,5.0,1.0,0.7203999757766724,0.2879574000835418,0.9722222089767456,-0.327,-0.123,1.4050716161727903,0.6146756410598755,,,,4.556904218987583,2.090753555297852,,0.8489939570426941,14.0,0.8111112713813782,0.3769083786010742,0.038645039,0.2133934961816206,128920266409.458,3508.09765625,,,62.994
MCO,,17703.5,,,,38109.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,7383496254.23721,193746.785647412,,,100.0
MDA,1.78,123.9948481,6674.871,,12.0,2664224.0,28.51,60.0,126.0,3.0,1.0,0.590399981,0.2656461894512176,0.9722222089767456,0.507,0.947,1.072846531867981,,5.0,3.0,2.0,1.8965481610307584,1.048972249031067,,0.5557440519332886,10.0,0.9555556774139404,0.2086006355285644,0.049891825,0.2172237951094539,11736797054.6965,4405.33418162155,26.0,0.02864514,42.726
MDG,3.978,35.61921794,1367.0938,,398.0,28219554.0,143.01,22.0,125.0,8.0,1.0,-0.638100028,0.2764632105827331,0.2857142984867096,-1.827,-0.249,1.0122469663619995,0.4660985767841339,2.0,1.0,2.0,1.233089858921115,0.6372680068016052,0.2936534881591797,0.7305750250816345,12.0,0.5888890027999878,0.2378527450561523,0.153207778930664,0.1039448946659413,14104664678.5063,499.818837622534,,,37.861
MDV,1.736,1053.333333,,5.04,50.0,487731.0,5.12,78.0,88.0,7.0,0.0,,,1.4893616437911987,-1.401,1.152,2.6283507347106934,,2.0,2.0,3.0,,,,,,0.5555553436279297,,,,5726094799.37709,11740.2724029785,29.3,0.0,40.238
MEX,1.916,58.34666529,16235.455,,58.0,125762982.0,50.67,49.0,3.0,4.0,1.0,0.6593000292778015,0.2873230874538421,1.4893616437911987,0.121,1.064,1.1056454181671145,0.7417882680892944,,,,3.826000585520853,1.323810338973999,1.388703227043152,0.8799177408218384,8.0,0.922222376,0.5183565139770507,0.0191081964969635,0.1301369006942337,1304106203694.81,10369.5553568761,,,80.444
MHL,2.824,300.2111111,,,,44007.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,232900000.0,5292.33985502306,35.5,0.85434437,77.417
MKD,1.34,81.68120539,14050.995,4.22,3.0,1876262.0,15.58,60.0,176.0,3.0,1.0,0.7168999910354614,0.313144714,1.25,-0.442,1.489,1.6341850757598877,,,,,3.893542085363767,2.140348196029663,,0.5616244673728943,16.0,0.8333333730697632,0.2680301475524902,0.04628633,0.1664158784752078,12606338448.547,6718.85826635458,33.5,2.6633506,58.208
MLI,6.103,12.59639892,1651.9413,,428.0,21068405.0,144.27,29.0,28.0,8.0,1.0,-0.165000007,0.2819910049438476,0.5882353186607361,0.236,1.187,0.7022873163223267,,4.0,1.0,2.0,2.9300691243622072,0.6450210213661194,,0.6963197588920593,6.0,0.6555556654930115,0.2757211494445801,0.1445463848114013,0.1266109664456416,17280250810.0321,820.197390833912,,,43.136
MLT,1.14,1300.0,34496.34,,4.0,504062.0,12.04,63.0,178.0,5.0,0.0,,,1.1290322542190552,1.262,2.098,3.719016551971436,,,,,4.791387599922324,1.7771239280700684,1.818721294403076,,,,0.4861190795898437,0.0,0.2631573954290642,16337793530.7788,32412.2697818499,31.0,0.30468178,94.678
MMR,2.2,73.39178602,5177.4326,,213.0,52640713.0,,16.0,10.0,2.0,1.0,-0.302599996,0.2731930017471313,0.3626942932605743,0.035,0.395,0.7279241681098938,0.4769863188266754,4.0,1.0,2.0,3.900957975250538,2.374222040176392,0.8749582171440125,0.7323088049888611,6.0,0.5555553436279297,0.3742337417602539,0.1055801582336425,0.074759072,75065106227.6892,1425.98954211903,,,30.852
MNE,1.77,46.98884758,20941.805,3.81,6.0,622028.0,11.44,61.0,183.0,3.0,1.0,1.0,0.3319317996501922,1.25,0.437,1.302,3.719016551971436,0.521559477,,,,4.518981944970508,3.0066633224487305,2.0036375522613525,0.8211223483085632,18.0,0.7222223877906799,,,,5542054181.12616,8909.6538759126,35.7,1.9976742,67.15
MNG,2.937,1.773990062,13442.906,8.22,40.0,3267673.0,30.51,47.0,89.0,2.0,1.0,0.6489999890327454,0.2704794108867645,1.0,0.689,0.176,2.1019232273101807,,4.0,3.0,2.0,3.5533101401865363,1.9222586154937744,,0.7815583944320679,17.0,0.7444443702697754,0.3386328506469727,0.092723827,0.149455948,14206359017.5143,4347.54610314873,,,68.543
MNP,,132.4282609,,,,48129.0,,,,,,,,,,,,,,,,,,,,,,,,,1179000000.0,24496.6652122421,,,91.708
MOZ,4.783,29.74388972,1087.836,0.7,150.0,29884380.0,,23.0,57.0,8.0,1.0,0.1894000023603439,0.2667357921600342,0.9090909361839294,-0.162,0.002,1.1564429998397827,,5.0,2.0,3.0,1.784483361,0.3465431630611419,,0.635140598,11.0,0.7222223877906799,0.4199066925048828,0.094867811,0.2172209234760752,15512759046.672,519.09255091362,50.3,74.52835,36.528
MRT,4.521,3.356941884,3680.3662,3.64,431.0,4467708.0,89.64,36.0,65.0,8.0,1.0,-0.164199993,0.3059087097644806,0.7070707082748413,-1.659,-0.221,0.9384757280349731,,3.0,2.0,3.0,3.522012965263666,1.816915512084961,,0.6560730338096619,13.0,0.6666670441627502,,,0.156533521819409,7894764885.82312,1767.072710621,32.0,5.354673,54.507
MUS,1.4,631.0344828,20643.094,,49.0,1265985.0,23.23,44.0,180.0,8.0,1.0,0.9300000071525574,0.3140316009521484,0.985915482,1.052,1.903,1.043622612953186,,,,,2.678734293409009,1.1068059206008911,,0.55371809,18.0,0.9333336353302002,0.2423590660095214,0.0172468733787536,0.1866450576900201,14436346979.6355,11403.2527870674,,,40.766
MWI,4.072,158.0504879,1190.0509,,370.0,19025752.0,,24.0,87.0,8.0,1.0,0.2014999985694885,0.2688721120357513,0.7142857313156128,0.075,-0.908,2.2074878215789795,,3.0,1.0,3.0,1.2343401994733203,0.3408085107803345,,0.7316892743110657,16.0,0.7555556297302246,0.4865313339233398,0.09527276,0.1516095049746794,11051865579.8121,580.889816066776,38.5,70.0606,17.174
MYS,1.834,86.4434637,26628.707,,22.0,33440596.0,8.5,52.0,177.0,2.0,1.0,0.8116999864578247,0.2869133949279785,0.7446808218955994,-0.159,0.436,2.189231634140014,,,,,5.015402105636585,1.6888903379440308,,0.6763500571250916,17.0,0.7444443702697754,0.6138683700561524,0.022793624,0.142902059,365177721021.516,10920.191763972,,,76.607
NAM,3.404,2.773020442,7979.328,,223.0,2650494.0,,43.0,127.0,8.0,1.0,0.6550999879837036,0.2944015860557556,0.9333333373069764,1.442,1.28,1.9188761711120603,,,,,5.415458673454139,2.0236852169036865,,0.3281215727329254,16.0,0.4777780175209045,0.3894116973876953,0.3556071472167968,0.3305646366881919,12541928303.48,4731.9210318831,,,51.042
NCL,2.1,13.51203501,,,,283606.0,12.52,,,,,,,,,,,,,,,,,,,,,,,,9475655324.59495,33411.3358835672,,,71.104
NER,6.961,12.24599353,1007.72095,0.27,410.0,22947757.0,149.59,36.0,60.0,8.0,1.0,0.048149999,0.2828728854656219,0.6930692791938782,0.926,0.218,0.4460515677928924,,4.0,2.0,2.0,,0.4285013973712921,,0.7670788764953613,11.0,0.711111307,0.2588358870520562,0.1318586254119873,0.1618400001525879,12889555561.2299,561.691304349698,,,16.517
NGA,5.379,173.9440254,5070.4927,,1122.0,209485641.0,80.95,16.0,45.0,8.0,1.0,-0.389999986,0.299930215,0.4347825944423675,-0.177,0.409,1.273445487,,3.0,1.0,1.0,2.517959421246088,0.7439039349555969,,0.7149775624275208,6.0,0.7111110091209412,,,,474517490844.461,2265.15520863056,,,51.157
NIC,2.377,48.10536812,5092.8413,0.94,75.0,6483657.0,,62.0,59.0,4.0,1.0,0.1351999938488006,0.2682301998138428,0.7142857313156128,-0.122,-1.096,0.9180742502212524,0.577134371,4.0,2.0,3.0,2.8271569772260503,1.074407696723938,,0.77233994,12.0,0.699999988,0.3842727279663085,0.041353111,0.1781091857955144,12699028889.666,1958.62132892996,,,58.76
NLD,1.57,492.6178476,49669.867,2.91,4.0,17344874.0,2.45,66.0,91.0,3.0,1.0,2.213000059127808,0.3466637134552002,0.9589040875434875,2.005,2.321,3.719016551971436,0.8200467824935913,,,,6.239739615880115,1.235129475593567,1.3823606967926023,0.98216182,,,0.4548168182373047,0.0,0.2389895906046961,928903005576.469,53554.9007491475,29.2,0.0957287,91.876
NOR,1.53,16.00484499,88366.22,3.4,2.0,5347896.0,2.26,86.0,186.0,3.0,1.0,2.5269999504089355,0.3461064994335174,1.4893616437911987,2.981,2.347,3.719016551971436,0.8051890730857849,,,,7.020503722012746,1.7575538158416748,,0.8357422351837158,,,0.5059385299682617,0.004523145,0.2541734644582692,408742840909.091,76430.5889473338,27.7,0.15653396,82.616
NPL,2.08,208.9919777,3013.5178,0.28,182.0,28414064.0,76.43,25.0,58.0,7.0,1.0,-0.027389999,0.2888506054878235,1.0,-0.056,-0.977,0.9015800356864928,0.5849602222442627,3.0,2.0,2.0,2.563859152526074,1.9272812604904173,,0.9620231986045836,10.0,0.7222223877906799,0.2420838356018066,0.2102709579467773,0.1678603937867878,34186180699.0255,1203.14294706401,,,20.153
NRU,3.618,,,,,11587.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,124871111.377973,10776.8284610316,,,100.0
NZL,1.72,16.58881167,38250.12,2.51,7.0,4979200.0,12.8,76.0,185.0,2.0,1.0,2.234999895095825,0.3487879037857055,1.7073169946670532,2.628,2.294,3.719016551971436,0.5701025128364563,,,,6.045540195405914,1.0782487392425537,,0.5542635917663574,,,0.5531219100952148,0.0281258797645568,0.3299462841483673,212846907683.439,42747.2099299966,,,86.615
OMN,2.776,8.991922456,47988.65,1.16,16.0,4591241.0,8.23,88.0,187.0,5.0,1.0,1.2020000219345093,0.3540123999118805,0.4827586412429809,0.632,0.222,2.4007837772369385,,,,,7.476697033755802,2.486063003540039,,0.9338986873626708,18.0,,,,,88060858257.4772,19180.1864152801,,,85.443
PAK,3.62,225.1880967,5531.723,,179.0,230800899.0,,33.0,29.0,7.0,1.0,0.0123699996620416,0.2969217896461487,0.9090909361839294,-1.681,1.199,1.1749868392944336,,4.0,3.0,1.0,3.8826696664257145,1.7391399145126345,,0.772068202,5.0,0.7555556297302246,,,,320909472770.669,1390.41690981745,,,36.907
PAN,2.375,47.30965833,23557.02,1.92,51.0,4234700.0,68.65,57.0,92.0,4.0,1.0,0.4129999876022339,0.2918302118778229,0.9210526943206788,1.452,0.434,1.0407319068908691,,,,,0.0,1.880421757698059,,0.7365332245826721,15.0,0.7888889908790588,0.5051546478271485,0.07216495,0.097,69778991200.0,16477.9066285687,49.8,1.0040996,68.059
PER,2.242,22.715625,12762.967,1.64,72.0,32449303.0,39.41,63.0,30.0,4.0,1.0,0.7907000184059143,0.2843289077281952,0.9090909361839294,0.883,0.138,1.1650469303131104,0.7944921851158142,,,,4.697762901666944,1.8221758604049685,1.502607822418213,0.8838841319084167,10.0,0.9333333373069764,0.3853030395507812,0.0196783697605133,0.1471579226541407,228346006003.648,7037.00803692604,41.5,2.9770849,78.099
PHL,2.805,312.7779455,8370.666,0.99,81.0,110804683.0,,41.0,46.0,2.0,1.0,0.7146000266075134,0.2902672886848449,2.058823585510254,0.075,1.967,1.4360082149505615,,,,,3.516465172632296,0.9634606242179872,,0.7033475041389465,12.0,0.8222219944000244,0.4661044692993164,0.2024450874328613,0.1364264143510991,376823402244.928,3400.78949772302,,,47.149
PLW,,44.50434783,,,,17798.0,34.47,47.0,,,,,,,,,,,,,,,,,,,,,,,281941562.5,15841.1935329812,,,80.47
PNG,3.322,15.14375304,,,190.0,9609010.0,,58.0,93.0,2.0,1.0,-0.250499994,0.2785758972167969,0.9090909361839294,-0.576,-0.249,1.304685354232788,,3.0,2.0,2.0,2.5888303633363283,0.2105388939380645,,0.3313953578472137,9.0,0.455555647611618,0.6746794891357422,0.064674907,0.1479699859414963,24750626040.5917,2575.77274251891,,,13.25
POL,1.44,125.5226824,32468.402,6.11,2.0,37965475.0,9.4,71.0,17.0,3.0,1.0,1.4279999732971191,0.2857491075992584,1.2068965435028076,1.295,2.288,1.8339595794677732,0.7944921851158142,,,,5.596630472638118,1.7121145725250244,1.2700936794281006,0.7398378252983093,18.0,0.8555556535720825,0.3288846588134765,0.0,0.197956183110512,602683770144.88,15874.5220531254,28.8,0.06276072,60.037
PRI,0.982,448.4780158,35280.668,,21.0,3193694.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,105126400000.0,32916.866800639,,,93.576
PRK,1.84,202.1925089,1568.847,,106.0,26037632.0,,,41.0,2.0,1.0,0.1978999972343444,0.3686543107032776,0.2857142984867096,-1.882,0.051,1.5229148864746094,,,,,3.570413072481041,4.021009445,,0.8221222758293152,18.0,,,,,,,,,62.134
PRT,1.43,116.3004264,28992.059,3.53,11.0,10286263.0,7.63,61.0,21.0,3.0,1.0,1.7710000276565552,0.3463701903820038,1.0,1.754,2.285,3.0591042041778564,0.5998179316520691,,,,5.843183679989609,2.0916824340820317,1.7096178531646729,0.986026644706726,,,0.456702766418457,4.22901997808367e-06,0.2291650050128105,240115970063.019,23343.3628970034,32.8,0.14872062,65.764
PRY,2.525,16.2446514,8762.771,1.01,70.0,6515058.0,,46.0,189.0,4.0,1.0,0.12219999730587,0.2888574004173279,1.0,-0.082,0.839,0.9106116890907288,0.5849602222442627,,,,4.073962192575023,1.569635987281799,1.2369389533996582,0.8830298185348511,10.0,0.7222223877906799,0.2151026916503906,0.091828508,0.1282532493879019,37925338329.1494,5821.18199548637,45.7,1.0115106,61.879
PSE,3.642,689.7009967,4775.202,,20.0,4685306.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,17133500000.0,3656.85827137011,,,76.44
PYF,1.712,74.04371585,,,,279034.0,27.97,,,,,,,,,,,,,,,,,,,,,,,,6022276196.13871,21582.5892046801,,,61.897
