Country,Maternal_mortality_ratio
Afghanistan,644.2726
Africa,478.50125
Africa (UN),
Albania,5.305023
Algeria,76.71434
American Samoa,
Americas (UN),
Andorra,
Angola,227.68697
Anguilla,
Antigua and Barbuda,18.913202
Argentina,32.602604
Armenia,24.938004
Aruba,
Asia,104.205414
Asia (UN),
Asia (excl. China and India),
Australia,5.085507
Austria,5.495701
Azerbaijan,26.869574
Bahamas,82.026985
Bahrain,14.503957
Bangladesh,157.16107
Barbados,46.623375
Belarus,1.0820116
Belgium,4.603336
Belize,86.01262
Benin,521.86676
Bermuda,
Bhutan,61.609154
Bolivia,175.75273
Bonaire Sint Eustatius and Saba,
Bosnia and Herzegovina,5.3941045
Botswana,117.87683
Brazil,60.735165
British Virgin Islands,
Brunei,44.99773
Bulgaria,6.7299147
Burkina Faso,283.25668
Burundi,479.29013
Cambodia,214.1864
Cameroon,439.76755
Canada,11.156275
Cape Verde,42.0967
Cayman Islands,
Central African Republic,847.2854
Chad,1047.2969
Chile,14.600064
China,20.3975
Colombia,65.44107
Comoros,236.59631
Congo,292.1209
Cook Islands,
Costa Rica,18.696135
Cote d'Ivoire,482.8607
Croatia,4.5328746
Cuba,40.29785
Curacao,
Cyprus,63.814064
Czechia,3.3352423
Democratic Republic of Congo,540.7023
Denmark,4.5194545
Djibouti,244.09666
Dominica,
Dominican Republic,102.90619
East Timor,223.53696
Ecuador,73.79165
Egypt,17.765667
El Salvador,38.85559
Equatorial Guinea,216.35484
Eritrea,331.53104
Estonia,5.065453
Eswatini,227.99457
Ethiopia,294.02185
Europe,6.618043
Europe (UN),
Europe (excl. Russia),
European Union (27),
Falkland Islands,
Faroe Islands,
Fiji,38.160645
Finland,8.533533
France,7.731595
French Guiana,
French Polynesia,
Gabon,225.47478
Gambia,474.3544
Georgia,26.467445
Germany,4.44996
Ghana,243.84125
Gibraltar,
Greece,5.9618406
Greenland,
Grenada,20.484573
Guadeloupe,
Guam,
Guatemala,100.29056
Guernsey,
Guinea,555.54395
Guinea-Bissau,709.50775
Guyana,109.76433
Haiti,348.66592
High-income countries,11.728882
Honduras,66.638214
Hong Kong,
Hungary,14.107047
Iceland,3.1229384
India,116.38938
Indonesia,158.17068
Iran,20.87619
Iraq,72.77916
Ireland,5.523205
Isle of Man,
Israel,2.6269557
Italy,4.723681
Jamaica,93.04639
Japan,4.248915
Jersey,
Jordan,41.291813
Kazakhstan,14.016989
Kenya,502.91656
Kiribati,108.22569
Kosovo,
Kuwait,7.340056
Kyrgyzstan,47.4402
Laos,153.34427
Latin America and the Caribbean (UN),
Latvia,21.80957
Lebanon,19.592762
Lesotho,628.86487
Liberia,667.96204
Libya,72.49055
Liechtenstein,
Lithuania,7.35745
Low-income countries,410.41202
Lower-middle-income countries,261.20193
Luxembourg,6.41366
Macao,
Madagascar,397.63773
Malawi,370.2439
Malaysia,21.580317
Maldives,50.324753
Mali,428.26315
Malta,4.0504026
Marshall Islands,
Martinique,
Mauritania,431.10107
Mauritius,49.055176
Mayotte,
Mexico,57.969803
Micronesia (country),65.169334
Moldova,12.095168
Monaco,
Mongolia,39.707394
Montenegro,5.816906
Montserrat,
Morocco,76.35814
Mozambique,149.91914
Myanmar,212.97035
Namibia,222.95572
Nauru,
Nepal,182.3197
Netherlands,3.9408796
New Caledonia,
New Zealand,7.2196164
Nicaragua,75.08457
Niger,409.6483
Nigeria,1122.1133
Niue,
North America,50.507263
North Korea,106.15473
North Macedonia,3.0859964
Northern America (UN),
Northern Mariana Islands,
Norway,1.9422734
Oceania,80.8038
Oceania (UN),
Oman,15.588759
Pakistan,179.2679
Palau,
Palestine,20.220203
Panama,50.99978
Papua New Guinea,189.81688
Paraguay,69.88435
Peru,71.99521
Philippines,80.726776
Poland,1.8895258
Portugal,11.334371
Puerto Rico,20.94646
Qatar,6.517425
Reunion,
Romania,10.35986
Russia,7.4531126
Rwanda,281.31085
Saint Barthelemy,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,72.0371
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,65.47133
Samoa,66.35197
San Marino,
Sao Tome and Principe,142.41254
Saudi Arabia,17.68222
Senegal,257.61148
Serbia,10.47125
Seychelles,3.0731246
Sierra Leone,435.23587
Singapore,6.2473087
Sint Maarten (Dutch part),
Slovakia,4.856402
Slovenia,3.467772
Solomon Islands,127.18191
Somalia,606.238
South Africa,118.2704
South America,72.358894
South America (excl. Brazil),
South Korea,6.3600454
South Sudan,1245.1707
Spain,3.1676915
Sri Lanka,29.820972
Sudan,297.98605
Suriname,100.03647
Svalbard and Jan Mayen,
Sweden,4.5291615
Switzerland,7.1045384
Syria,33.044685
Taiwan,
Tajikistan,16.367348
Tanzania,261.8509
Thailand,28.839975
Togo,418.26276
Tokelau,
Tonga,125.40065
Trinidad and Tobago,26.345713
Tunisia,39.81871
Turkey,17.008928
Turkmenistan,4.915799
Turks and Caicos Islands,
Tuvalu,
Uganda,291.6417
Ukraine,9.261322
United Arab Emirates,9.432062
United Kingdom,9.223602
United States,19.852346
United States Virgin Islands,
Upper-middle-income countries,40.466396
Uruguay,20.070677
Uzbekistan,29.838999
Vanuatu,92.777275
Vatican,
Venezuela,176.52684
Vietnam,50.43643
Wallis and Futuna,
Western Sahara,
World,214.92526
Yemen,181.33215
Zambia,128.84006
Zimbabwe,393.1763
