Country,Capacity
Afghanistan,-1.046000004
Albania,0.5548999905586243
Algeria,0.1428000032901764
Angola,-0.107299998
Argentina,0.809499979
Armenia,1.0709999799728394
Australia,2.2179999351501465
Austria,2.4790000915527344
Azerbaijan,0.0576799996197223
Bahamas,
Bahrain,0.4697999954223633
Bangladesh,0.0122699998319149
Barbados,
Belarus,0.9086999893188475
Belgium,2.378999948501587
Belize,
Benin,0.1220000013709068
Bhutan,0.6274999976158142
Bolivia,0.5020999908447266
Bosnia and Herzegovina,0.2854999899864197
Botswana,0.6212999820709229
Brazil,0.7382000088691711
Brunei,
Bulgaria,1.1649999618530271
Burkina Faso,0.1683000028133392
Burundi,-0.641700029
Cambodia,-0.055119999
Cameroon,-0.406899989
Canada,2.0950000286102295
Cabo Verde,0.4860000014305115
Central African Rep.,-1.541000009
Chad,-0.53490001
Chile,1.503000020980835
China,0.7145000100135803
Colombia,0.6180999875068665
Comoro Islands,-0.938199997
"Congo, Dem Rep",-0.99119997
"Congo, Rep.",-0.46540001
Costa Rica,0.8695999979972839
Cote d'Ivoire,-0.071359999
Croatia,1.406000018119812
Cuba,0.5659999847412109
Cyprus,0.9259999990463256
Czech Rep.,1.5859999656677246
Denmark,2.697000026702881
Djibouti,-0.428799987
Dominican Rep.,0.5985999703407288
Ecuador,0.5636000037193298
Egypt,0.2569000124931335
El Salvador,0.4873000085353851
Eq. Guinea,-0.520699978
Eritrea,-1.233999968
Estonia,1.7020000219345093
Ethiopia,0.1020999997854232
Fiji,0.4424999952316284
Finland,2.336999893188477
France,1.6419999599456787
Gabon,-0.208900005
Gambia,-0.1567
Georgia,0.9021000266075134
Germany,2.3010001182556152
Ghana,0.2549999952316284
Greece,1.4179999828338623
Grenada,
Guatemala,0.1455000042915344
Guinea,-0.240099996
Guinea-Bissau,-0.860300004
Guyana,0.2082999944686889
Haiti,-1.15199995
Honduras,0.3418000042438507
Hungary,1.5169999599456787
Iceland,
India,0.7670000195503235
Indonesia,0.6743000149726868
Iran,0.5042999982833862
Iraq,-0.632700026
Ireland,2.009000062942505
Israel,1.7549999952316284
Italy,1.5210000276565552
Jamaica,0.6489999890327454
Japan,1.7680000066757202
Jordan,0.4557999968528747
Kazakhstan,0.8112999796867371
Kenya,-0.07886
"Korea, North",0.1978999972343444
"Korea, South",1.9609999656677248
Kuwait,0.2707000076770782
Kyrgyzstan,0.2239000052213668
Laos,0.2660999894142151
Latvia,1.4739999771118164
Lebanon,0.024779999628663
Lesotho,0.080530003
Liberia,-0.513400018
Libya,-1.351999998
Lithuania,1.4880000352859497
Luxembourg,
Macedonia,0.7168999910354614
Madagascar,-0.638100028
Malawi,0.2014999985694885
Malaysia,0.8116999864578247
Maldives,
Mali,-0.165000007
Malta,
Mauritania,-0.164199993
Mauritius,0.9300000071525574
Mexico,0.6593000292778015
Moldova,0.590399981
Mongolia,0.6489999890327454
Morocco,0.7203999757766724
Mozambique,0.1894000023603439
Myanmar,-0.302599996
Namibia,0.6550999879837036
Nepal,-0.027389999
Netherlands,2.2130000591278076
New Zealand,2.234999895095825
Nicaragua,0.1351999938488006
Niger,0.048149999
Nigeria,-0.389999986
Norway,2.5269999504089355
Oman,1.2020000219345093
Pakistan,0.0123699996620416
Panama,0.4129999876022339
Papua New Guinea,-0.250499994
Paraguay,0.12219999730587
Peru,0.7907000184059143
Philippines,0.7146000266075134
Poland,1.4279999732971191
Portugal,1.7710000276565552
Qatar,0.9509000182151794
Romania,1.0160000324249268
Russia,0.6463000178337097
Rwanda,0.7527999877929688
Samoa,
Saudi Arabia,0.4077999889850616
Senegal,0.2705999910831451
Seychelles,
Sierra Leone,-0.070210002
Singapore,1.6720000505447388
Slovakia,1.3969999551773071
Slovenia,1.597000002861023
Solomon Islands,-0.70569998
Somalia,-2.095999956
South Africa,0.8833000063896179
Spain,2.003000020980835
Sri Lanka,0.3370999991893768
St. Lucia,
Sudan,-0.88349998
Suriname,-0.087619998
Swaziland,-0.078950003
Sweden,2.3540000915527344
Switzerland,2.2720000743865967
Syria,-1.202000022
Taiwan,1.4550000429153442
Tajikistan,-0.02922
Tanzania,0.3776000142097473
Thailand,0.5795000195503235
Togo,-0.193499997
Trinidad-Tobago,0.5713000297546387
Tunisia,0.6241000294685364
Turkey,1.003999948501587
Turkmenistan,-0.707099974
Uganda,0.3691000044345855
Ukraine,0.3095000088214874
United Arab Emirates,0.7111999988555908
United Kingdom,1.7769999504089355
United States,1.8600000143051147
Uruguay,1.2929999828338623
Uzbekistan,-0.079549998
Vanuatu,
Venezuela,-0.02595
Vietnam,0.7556999921798706
Yemen,-1.442000031
Zambia,0.3531999886035919
Zimbabwe,0.2964999973773956
Timor-Leste,0.095310003
Serbia,0.888700008
Montenegro,1.0
Kosovo,-0.273799986
South Sudan,-1.368000031
