Country,Capacity
Afghanistan,-1.019000053
Albania,0.5756999850273132
Algeria,0.091420002
Angola,-0.094159998
Argentina,0.8348000049591064
Armenia,0.9925000071525574
Australia,2.2909998893737793
Austria,2.4860000610351562
Azerbaijan,0.1316999942064285
Bahamas,
Bahrain,0.5058000087738037
Bangladesh,-0.004775
Barbados,
Belarus,0.9563999772071838
Belgium,2.5190000534057617
Belize,
Benin,-0.01856
Bhutan,0.7710999846458435
Bolivia,0.4733999967575073
Bosnia and Herzegovina,0.3601999878883362
Botswana,0.5475999712944031
Brazil,0.805400014
Brunei,
Bulgaria,1.1970000267028809
Burkina Faso,0.2542999982833862
Burundi,-0.492399991
Cambodia,-0.073579997
Cameroon,-0.413899988
Canada,2.128000020980835
Cabo Verde,0.4891999959945678
Central African Rep.,-1.42900002
Chad,-0.587199986
Chile,1.52400004863739
China,0.7297999858856201
Colombia,0.609000027
Comoro Islands,-1.044999957
"Congo, Dem Rep",-1.059000015
"Congo, Rep.",-0.343199998
Costa Rica,0.8003000020980835
Cote d'Ivoire,-0.282299995
Croatia,1.437000036239624
Cuba,0.5722000002861023
Cyprus,1.187999963760376
Czech Rep.,1.5920000076293943
Denmark,2.9570000171661377
Djibouti,-0.4745
Dominican Rep.,0.6204000115394592
Ecuador,0.5770000219345093
Egypt,0.1782000064849853
El Salvador,0.5005000233650208
Eq. Guinea,-0.673399985
Eritrea,-1.100000024
Estonia,1.6859999895095823
Ethiopia,0.0149400001391768
Fiji,0.5307000279426575
Finland,2.3970000743865967
France,1.6619999408721924
Gabon,-0.156800002
Gambia,-0.066459998
Georgia,0.7768999934196472
Germany,2.122999906539917
Ghana,0.1218999996781349
Greece,1.4190000295639038
Grenada,
Guatemala,0.1298999935388565
Guinea,-0.235400006
Guinea-Bissau,-0.84829998
Guyana,0.1265999972820282
Haiti,-1.190000057
Honduras,0.248099997639656
Hungary,1.534000039100647
Iceland,
India,0.7998999953269958
Indonesia,0.6498000025749207
Iran,0.5177000164985657
Iraq,-0.736100018
Ireland,2.065999984741211
Israel,1.7760000228881836
Italy,1.440999984741211
Jamaica,0.6319000124931335
Japan,1.8070000410079956
Jordan,0.4379000067710876
Kazakhstan,0.7914000153541565
Kenya,-0.05164
"Korea, North",0.2401999980211258
"Korea, South",1.9609999656677248
Kuwait,0.3172999918460846
Kyrgyzstan,0.2671000063419342
Laos,0.2892000079154968
Latvia,1.4630000591278076
Lebanon,-0.084600002
Lesotho,0.2152000069618225
Liberia,-0.564700007
Libya,-0.889800012
Lithuania,1.4639999866485596
Luxembourg,
Macedonia,0.7245000004768372
Madagascar,-0.778400004
Malawi,0.155699998140335
Malaysia,0.8827999830245972
Maldives,
Mali,-0.201199993
Malta,
Mauritania,-0.290300012
Mauritius,0.8165000081062317
Mexico,0.6263999938964844
Moldova,0.6079999804496765
Mongolia,0.6495000123977661
Morocco,0.708899975
Mozambique,0.2040999978780746
Myanmar,-0.431300014
Namibia,0.617900014
Nepal,-0.089230001
Netherlands,2.3310000896453857
New Zealand,2.2300000190734863
Nicaragua,0.060740001
Niger,-0.039179999
Nigeria,-0.398400009
Norway,2.5460000038146973
Oman,1.222000002861023
Pakistan,0.0293600000441074
Panama,0.4670999944210052
Papua New Guinea,-0.194399998
Paraguay,0.1199000030755996
Peru,0.8468999862670898
Philippines,0.6538000106811523
Poland,1.3530000448226929
Portugal,1.7480000257492063
Qatar,0.9569000005722046
Romania,1.093999981880188
Russia,0.639199972
Rwanda,0.7656999826431274
Samoa,
Saudi Arabia,0.4212000072002411
Senegal,0.257099986
Seychelles,
Sierra Leone,-0.078299999
Singapore,1.6749999523162842
Slovakia,1.3329999446868896
Slovenia,1.5889999866485596
Solomon Islands,-0.506799996
Somalia,-2.092999935
South Africa,0.826699972
Spain,1.9739999771118164
Sri Lanka,0.2784999907016754
St. Lucia,
Sudan,-1.105000019
Suriname,-0.09928
Swaziland,-0.09093
Sweden,2.549000024795532
Switzerland,2.382999897003174
Syria,-1.220000029
Taiwan,1.4429999589920044
Tajikistan,-0.064570002
Tanzania,0.3501999974250793
Thailand,0.5260999798774719
Togo,-0.231800005
Trinidad-Tobago,0.6025999784469604
Tunisia,0.5609999895095825
Turkey,1.10099995136261
Turkmenistan,-0.569999993
Uganda,0.2824000120162964
Ukraine,0.508899987
United Arab Emirates,1.0509999990463257
United Kingdom,1.7899999618530271
United States,1.909999966621399
Uruguay,1.3389999866485596
Uzbekistan,-0.111500002
Vanuatu,
Venezuela,0.01461
Vietnam,0.6480000019073486
Yemen,-0.845200002
Zambia,0.356900006532669
Zimbabwe,0.2653999924659729
Timor-Leste,0.2167000025510788
Serbia,0.9433000087738036
Montenegro,1.116000056266785
Kosovo,-0.305999994
South Sudan,-1.401000023
