Country Code,2018
ABW,30082.1276448186
AFE,1538.92418773564
AFG,491.337221382603
AFW,1703.89639222804
AGO,2538.59139143371
ALB,5365.48934672897
AND,42819.7745797624
ARB,6576.51663083912
ARE,45689.8570040215
ARG,11752.7998922979
ARM,4196.00562301769
ASM,12552.0546868861
ATG,18273.4270684912
AUS,57196.4220783778
AUT,51194.0749841299
AZE,4739.7943123408
BDI,224.89939239264
BEL,47487.2100392561
BEN,1151.74096952152
BFA,777.465618514048
BGD,1965.24372731467
BGR,9436.14479876055
BHR,26324.4066549559
BHS,32124.4051059669
BIH,6047.84584261133
BLR,6360.05310087258
BLZ,6031.28139580144
BMU,113204.82210838
BOL,3500.72642189371
BRA,9300.66164936497
BRB,20055.915870771
BRN,30988.1190497851
BTN,3400.20417159422
BWA,7407.95940141786
CAF,455.243962859534
CAN,46539.1761570405
CEB,16181.6073703684
CHE,85217.3691512274
CHI,60783.3533081111
CHL,15659.4808675628
CHN,9905.40638304527
CIV,2130.86619381144
CMR,1610.69641591017
COD,528.256019777898
COG,2694.43413191427
COL,6816.96818309544
COM,1540.71132257526
CPV,4294.96510456428
CRI,12590.2493781614
CSS,12047.8528111635
CUB,8911.46205964193
CUW,19119.1243941688
CYM,83865.5531568184
CYP,29599.986328125
CZE,23705.9329811299
DEU,48874.8595028454
DJI,2718.0853229414
DMA,8137.56520624242
DNK,61324.7665045565
DOM,7934.98141208525
DZA,4577.21029180491
EAP,7925.42476458249
EAR,3503.21320137921
EAS,11285.8972298534
ECA,5952.35226461881
ECS,25340.1536558293
ECU,6303.91892523596
EGY,2484.70315630508
EMU,40068.5215464339
ERI,
ESP,30592.1264795541
EST,23618.1361254581
ETH,747.968143637014
EUU,36002.564051993
FCS,1819.00302147749
FIN,49654.2497035329
FJI,6085.41979209299
FRA,41418.1766484844
FRO,62524.0387361638
FSM,3566.58690371125
GAB,7624.2775233771
GBR,43203.8141057739
GEO,4804.0546040444
GHA,2196.61290615342
GIB,
GIN,933.273615633705
GMB,696.219806960615
GNB,808.531613218504
GNQ,8102.47084834031
GRC,19873.4015238771
GRD,10083.021279225
GRL,54545.135857765
GTM,4352.94651790253
GUM,37195.9503070464
GUY,6048.38697180418
HIC,41180.3426854104
HKG,48537.5668888343
HND,2464.64241531918
HPC,968.18729528141
HRV,15460.4183295843
HTI,1496.38048970156
HUN,16425.2050299693
IBD,6376.20637613022
IBT,5071.47780601742
IDA,1405.59717231873
IDB,1856.81876322366
IDN,3860.95353077708
IDX,1177.52764226474
IMN,89393.8244248812
IND,1966.25455171679
INX,
IRL,81248.3135388
IRN,4631.78709016514
IRQ,5646.68932074742
ISL,74452.1890731447
ISR,42233.2610344935
ITA,34746.3441392416
JAM,5578.10346083169
JOR,4145.43989673265
JPN,39751.1330982711
KAZ,9472.48527327758
KEN,1836.45275528993
KGZ,1283.52040333083
KHM,2036.67377566578
KIR,1912.73798131035
KNA,22901.3816403197
KOR,33447.1562836166
KWT,32067.9623689512
LAC,8504.73822009603
LAO,2545.1075420815
LBN,9174.53666204759
LBR,692.203127129794
LBY,11196.5854810844
LCA,11642.7403185172
LCN,9034.70781075096
LDC,1065.22658037951
LIC,654.345171301588
LIE,174988.775083446
LKA,4360.58473469252
LMC,2076.456710545
LMY,4738.20340339937
LSO,1170.65569702819
LTE,9850.36115121356
LTU,19368.5391045353
LUX,116786.511654677
LVA,17252.1710428626
MAC,83761.8171798142
MAF,
MAR,3501.69799804688
MCO,188298.315668437
MDA,4156.44981956646
MDG,500.45718552916
MDV,11423.2838427029
MEA,7732.44296580288
MEX,10084.7937562021
MHL,4858.12079054875
MIC,5202.51034300538
MKD,6713.98925398989
MLI,835.086710561793
MLT,33332.1905601302
MMR,1298.21310320785
MNA,3682.71025533449
MNE,8850.3749248372
MNG,4107.64288528468
MNP,26509.3628379893
MOZ,517.507260258101
MRT,1722.93528854073
MUS,11643.4605962124
MWI,533.203173686705
MYS,10901.8019954421
NAC,61512.7212012788
NAM,5308.60813408705
NCL,34902.8968780031
NER,578.568035680892
NGA,2057.87944554011
NIC,2035.16750115975
NLD,53955.0770024266
NOR,82792.8427113304
NPL,1179.19843190389
NRU,11408.6947593898
NZL,43228.6976473771
OED,39573.0447485009
OMN,19901.7615642016
OSS,14455.7757539518
PAK,1569.33814626355
PAN,16151.3273478476
PER,6978.49121548627
PHL,3168.51036606257
PLW,16197.7254546986
PNG,2566.36833735041
POL,15658.2120316794
PRE,1432.1297922805
PRI,31615.0667918433
PRK,
PRT,23541.1401075289
PRY,6258.44991640954
PSE,3562.33094270256
PSS,4245.78718413539
PST,45562.8677932304
PYF,21925.616043938
QAT,71039.8490579352
ROU,12502.2624061935
RUS,11211.8876953125
RWA,771.773521962568
SAS,1907.38178097978
SAU,28036.0264674095
SDN,731.027465820313
SEN,1452.55612562445
SGP,66840.6373389791
SLB,2278.20633913383
SLE,845.914540460932
SLV,4183.54620971358
SMR,47950.6880557136
SOM,509.525802439801
SRB,7559.86165747394
SSA,1604.66374694771
SSD,
SSF,1606.1313576289
SST,12723.981268455
STP,1825.59971753966
SUR,6665.74180472239
SVK,19573.3717031314
SVN,25888.0481065655
SWE,54181.9069780904
SWZ,3986.10557163026
SXM,31708.3110124742
SYC,18440.2340460932
SYR,1098.0668642357
TCA,27160.1579568902
TCD,695.642393675941
TEA,8014.49766251885
TEC,8884.71291375979
TGO,851.130806891807
THA,7099.77650081458
TJK,834.288404578801
TKM,6125.05169712085
TLA,8877.72299219367
TLS,1219.46598597604
TMN,3684.084605003
TON,4638.89774268789
