Entity,Code,Year,Adolescent Birth Rate
Lithuania,LTU,2018,11.19
Luxembourg,LUX,2018,4.6
Macao,MAC,2018,1.12
Madagascar,MDG,2018,143.46
Malawi,MWI,2018,135.63
Malaysia,MYS,2018,8.77
Malta,MLT,2018,12.07
Martinique,MTQ,2018,11.65
Mauritania,MRT,2018,88.24
Mauritius,MUS,2018,23.4
Mayotte,MYT,2018,66.0
Mexico,MEX,2018,58.64
Moldova,MDA,2018,31.36
Mongolia,MNG,2018,30.73
Montenegro,MNE,2018,9.7
Montserrat,MSR,2018,18.12
Morocco,MAR,2018,21.66
Nepal,NPL,2018,63.11
Netherlands,NLD,2018,2.58
New Caledonia,NCL,2018,15.33
New Zealand,NZL,2018,13.46
Niue,NIU,2018,0.0
North Macedonia,MKD,2018,15.54
Northern Africa (UN),,2018,45.95
Northern Africa and Western Asia (UN),,2018,40.61
Northern America (UN),,2018,16.2
Norway,NOR,2018,2.54
Oceania (UN),,2018,28.38
Oman,OMN,2018,11.8
Pakistan,PAK,2018,54.0
Palau,PLW,2018,35.14
Palestine,PSE,2018,42.84
Panama,PAN,2018,75.4
Peru,PER,2018,42.68
Poland,POL,2018,10.3
Portugal,PRT,2018,7.35
Puerto Rico,PRI,2018,19.36
Qatar,QAT,2018,8.45
Reunion,REU,2018,20.62
Romania,ROU,2018,36.37
Russia,RUS,2018,16.1
Rwanda,RWA,2018,31.79
Saint Barthlemy,,2018,4.21
Saint Martin (French part),MAF,2018,32.49
Saint Pierre and Miquelon,SPM,2018,0.0
Saint Vincent and the Grenadines,VCT,2018,55.92
Samoa,WSM,2018,54.92
Sao Tome and Principe,STP,2018,86.06
Senegal,SEN,2018,69.22
Serbia,SRB,2018,14.0
Seychelles,SYC,2018,65.0
Sierra Leone,SLE,2018,101.94
Singapore,SGP,2018,2.84
Slovakia,SVK,2018,26.33
Slovenia,SVN,2018,3.84
Small Island Developing States (SIDS),,2018,53.61
South Korea,KOR,2018,0.94
Spain,ESP,2018,6.22
Sub-Saharan Africa (UN),,2018,104.24
Suriname,SUR,2018,53.91
Sweden,SWE,2018,4.21
Switzerland,CHE,2018,2.32
Thailand,THA,2018,32.97
Tunisia,TUN,2018,6.47
Turkey,TUR,2018,19.21
Turkmenistan,TKM,2018,22.36
Turks and Caicos Islands,TCA,2018,18.19
Tuvalu,TUV,2018,43.76
Ukraine,UKR,2018,17.98
United Arab Emirates,ARE,2018,4.97
United Kingdom,GBR,2018,11.86
United States,USA,2018,16.9
Uruguay,URY,2018,37.34
Uzbekistan,UZB,2018,1.01
Venezuela,VEN,2018,73.95
Wallis and Futuna,WLF,2018,14.39
World,OWID_WRL,2018,44.05
