Country Name,Country Code,Year,Value,Disaggregation
Rwanda,RWA,2022,79.0,"total, 15+"
Samoa,WSM,2021,99.1,"total, 15+"
San Marino,SMR,2022,100.0,"total, 15+"
Sao Tome and Principe,STP,2022,93.75,"total, 15+"
Saudi Arabia,SAU,2020,98.0,"total, 15+"
Senegal,SEN,2022,57.67,"total, 15+"
Serbia,SRB,2019,99.0,"total, 15+"
Seychelles,SYC,2020,96.2,"total, 15+"
Sierra Leone,SLE,2022,48.64,"total, 15+"
Singapore,SGP,2021,98.0,"total, 15+"
Slovenia,SVN,2001,99.6,"total, 15+"
Solomon Islands,SLB,1999,77.0,"total, 15+"
Somalia,SOM,2022,54.0,"total, 15+"
South Africa,ZAF,2021,90.0,"total, 15+"
South Sudan,SSD,2018,34.523,"total, 15+"
Spain,ESP,2020,99.0,"total, 15+"
Sri Lanka,LKA,2022,92.0,"total, 15+"
St. Vincent and the Grenadines,VCT,1980,96.9,"total, 15+"
Sudan,SDN,2018,60.697,"total, 15+"
Suriname,SUR,2021,95.0,"total, 15+"
Syrian Arab Republic,SYR,2021,94.0,"total, 15+"
Tajikistan,TJK,2010,99.7,"total, 15+"
Tanzania,TZA,2022,82.02,"total, 15+"
Thailand,THA,2022,91.1,"total, 15+"
Timor-Leste,TLS,2020,69.9,"total, 15+"
Togo,TGO,2019,67.0,"total, 15+"
Tonga,TON,2021,99.4,"total, 15+"
Trinidad and Tobago,TTO,2000,97.9,"total, 15+"
Tunisia,TUN,2022,85.215,"total, 15+"
Turkiye,TUR,2019,97.0,"total, 15+"
Turkmenistan,TKM,2005,99.4,"total, 15+"
Uganda,UGA,2022,80.59,"total, 15+"
Ukraine,UKR,2021,100.0,"total, 15+"
United Arab Emirates,ARE,2022,98.0,"total, 15+"
Uruguay,URY,2022,99.0,"total, 15+"
Uzbekistan,UZB,2022,100.0,"total, 15+"
Vanuatu,VUT,2021,89.1,"total, 15+"
"Venezuela, RB",VEN,2022,97.6,"total, 15+"
Viet Nam,VNM,2022,96.0,"total, 15+"
West Bank and Gaza,PSE,2022,98.0,"total, 15+"
"Yemen, Rep.",YEM,2004,54.1,"total, 15+"
Zambia,ZMB,2020,87.5,"total, 15+"
Zimbabwe,ZWE,2022,89.85,"total, 15+"
