Country Name,Country Code,Year,Value,Disaggregation
Samoa,WSM,2021,99.0,"male, 15+"
San Marino,SMR,2022,100.0,"male, 15+"
Sao Tome and Principe,STP,2022,96.47,"male, 15+"
Saudi Arabia,SAU,2020,99.0,"male, 15+"
Senegal,SEN,2022,69.06,"male, 15+"
Serbia,SRB,2019,100.0,"male, 15+"
Seychelles,SYC,2020,95.8,"male, 15+"
Sierra Leone,SLE,2022,56.03,"male, 15+"
Singapore,SGP,2021,99.0,"male, 15+"
Slovenia,SVN,2001,99.7,"male, 15+"
Solomon Islands,SLB,1999,84.0,"male, 15+"
Somalia,SOM,2022,65.0,"male, 15+"
South Africa,ZAF,2021,91.0,"male, 15+"
South Sudan,SSD,2018,40.265,"male, 15+"
Spain,ESP,2020,99.0,"male, 15+"
Sri Lanka,LKA,2022,93.0,"male, 15+"
St. Vincent and the Grenadines,VCT,1980,96.9,"male, 15+"
Sudan,SDN,2018,65.435,"male, 15+"
Suriname,SUR,2021,96.5,"male, 15+"
Syrian Arab Republic,SYR,2021,97.0,"male, 15+"
Tajikistan,TJK,2010,99.8,"male, 15+"
Tanzania,TZA,2022,85.53,"male, 15+"
Thailand,THA,2022,90.669,"male, 15+"
Timor-Leste,TLS,2020,73.3,"male, 15+"
Togo,TGO,2019,80.0,"male, 15+"
Tonga,TON,2021,99.4,"male, 15+"
Trinidad and Tobago,TTO,2000,98.75,"male, 15+"
Tunisia,TUN,2022,92.57,"male, 15+"
Turkiye,TUR,2019,99.0,"male, 15+"
Turkmenistan,TKM,2005,99.6,"male, 15+"
Uganda,UGA,2022,84.85,"male, 15+"
Ukraine,UKR,2021,100.0,"male, 15+"
United Arab Emirates,ARE,2022,99.0,"male, 15+"
Uruguay,URY,2022,99.0,"male, 15+"
Uzbekistan,UZB,2022,100.0,"male, 15+"
Vanuatu,VUT,2021,89.8,"male, 15+"
"Venezuela, RB",VEN,2022,97.46,"male, 15+"
Viet Nam,VNM,2022,97.0,"male, 15+"
West Bank and Gaza,PSE,2022,99.0,"male, 15+"
"Yemen, Rep.",YEM,2004,73.16,"male, 15+"
Zambia,ZMB,2020,91.0,"male, 15+"
Zimbabwe,ZWE,2022,88.21,"male, 15+"
