Country Name,Country Code,Year,Value,Disaggregation
Rwanda,RWA,2022,77.0,"female, 15+"
Samoa,WSM,2021,99.3,"female, 15+"
San Marino,SMR,2022,100.0,"female, 15+"
Sao Tome and Principe,STP,2022,91.07,"female, 15+"
Saudi Arabia,SAU,2020,96.0,"female, 15+"
Senegal,SEN,2022,47.08,"female, 15+"
Serbia,SRB,2019,99.0,"female, 15+"
Seychelles,SYC,2020,96.7,"female, 15+"
Sierra Leone,SLE,2022,41.31,"female, 15+"
Singapore,SGP,2021,96.0,"female, 15+"
Slovenia,SVN,2001,99.6,"female, 15+"
Solomon Islands,SLB,1999,69.0,"female, 15+"
Somalia,SOM,2022,44.0,"female, 15+"
South Africa,ZAF,2021,89.0,"female, 15+"
South Sudan,SSD,2018,28.864,"female, 15+"
Spain,ESP,2020,98.0,"female, 15+"
Sri Lanka,LKA,2022,92.0,"female, 15+"
St. Vincent and the Grenadines,VCT,1980,96.9,"female, 15+"
Sudan,SDN,2018,56.063,"female, 15+"
Suriname,SUR,2021,93.4,"female, 15+"
Syrian Arab Republic,SYR,2021,92.0,"female, 15+"
Tajikistan,TJK,2017,94.622,"female, 15+"
Tanzania,TZA,2022,78.7,"female, 15+"
Thailand,THA,2022,91.486,"female, 15+"
Timor-Leste,TLS,2020,66.5,"female, 15+"
Togo,TGO,2019,55.0,"female, 15+"
Tonga,TON,2021,99.5,"female, 15+"
Trinidad and Tobago,TTO,2022,93.832,"female, 15+"
Tunisia,TUN,2022,78.261,"female, 15+"
Turkiye,TUR,2019,94.0,"female, 15+"
Turkmenistan,TKM,2019,99.649,"female, 15+"
Uganda,UGA,2022,76.53,"female, 15+"
Ukraine,UKR,2021,100.0,"female, 15+"
United Arab Emirates,ARE,2022,98.0,"female, 15+"
Uruguay,URY,2022,99.0,"female, 15+"
Uzbekistan,UZB,2022,100.0,"female, 15+"
Vanuatu,VUT,2021,88.4,"female, 15+"
"Venezuela, RB",VEN,2022,97.73,"female, 15+"
Viet Nam,VNM,2022,95.0,"female, 15+"
West Bank and Gaza,PSE,2022,97.0,"female, 15+"
"Yemen, Rep.",YEM,2023,54.133,"female, 15+"
Zambia,ZMB,2020,84.3,"female, 15+"
Zimbabwe,ZWE,2022,91.2,"female, 15+"
