iso3,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015
HTI,26,4,1,-1.15199995,0.29137280583381653,0.5882353186607361,-0.724,-1.61,1.3407549858093262,0.6132298111915588,2,1,0,0.006854303,0.011157155968248844,,0.8875668048858643,3,0.47777801752090454,,,0.1340609332363966
HND,27,4,1,0.3418000042438507,0.26165521144866943,0.875,0.306,0.876,1.416394591331482,0.726930559,4,2,2,3.6912443556482555,1.1158086061477661,0.9047024846076965,0.8437952399253845,10,0.7666670083999634,0.3034571647644043,0.043000168800354004,0.18002622646564428
HUN,210,3,1,1.5169999599456787,0.28411170840263367,1,1.395,2.409,3.7190165519714355,0.7417882680892944,,,,4.760631678196508,1.5968471765518188,,0.7608461976051331,18,0.8555556535720825,0.26139341354370116,0.001517756,0.2603589863140729
ISL,168,3,0,,,1.3461538553237915,2.308,2.259,3.7190165519714355,,,,,0,0.5636260509490967,1.085524559020996,0.881928563,,,0.5219155120849609,0.007827966,0.33141410993068926
IND,39,7,1,0.7670000195503235,0.31204959750175476,1,0.247,2.407,1.0600980520248413,0.726930559,,,,3.692679804848696,1.1430246829986572,,0.7142000794410706,12,0.7777780294418335,,,
IDN,56,2,1,0.6743000149726868,0.287265807,0.9210526943206787,0.609,2.123,1.589267611503601,0.6050717234611511,,,,3.414259618351948,1.2849074602127075,,0.6121739745140076,14,0.8444446325302124,0.43414840698242185,0.024801442623138426,0.10328037102610453
IRN,79,5,1,0.5042999982833862,0.2854408025741577,1.399999976158142,0.506,-1.634,1.4395314455032349,0.5998179316520691,,,,4.911935333985692,2.100797653198242,,0.9920682311058044,14,0.7333333492279053,0.512000389,0.14590662956237793,0.071364223
IRQ,80,5,1,-0.632700026,0.29839470982551575,0.9090909361839294,-1.516,-0.291,0.26631060242652893,,,,,5.602089607105592,1.9279444217681885,,0.8076910376548767,5,0.5222223401069641,0.5482216644287109,0.29334962844848633,0.012266229
IRL,81,3,1,2.009000062942505,0.3538999855518341,2.058823585510254,2.309,2.154,2.025071620941162,,,,,5.372024467544869,1.083827257156372,,0.7166092395782471,,,0.5321871566772461,0,0.1916182186013023
ISR,169,5,1,1.7549999952316284,0.36257439851760864,0.9090909361839294,1.003,2.353,2.376030921936035,,,,,7.635865578152724,3.183234453201294,,0.6511628031730652,,,0.3901540374755859,0.00952777,0.2589256974537043
ITA,82,3,1,1.5210000276565552,0.34360629320144653,0.9722222089767456,1.32,2.308,1.3722038269042969,0.7566459774971008,,,,5.905771892220001,1.930173397064209,1.7175920009613037,0.8670752644538879,,,0.46272117614746094,0,0.29815245293201387
JAM,120,4,1,0.6489999890327454,0.2866654098033905,1,1.484,-0.124,1.6032476425170898,,,,,3.7805676895237523,0.7854294776916504,1.6543560028076172,0.6234841346740723,14,0.7777780294418335,0.37024166107177736,0.07658793,0.2421333690820439
JPN,9,2,1,1.7680000066757202,0.31307971477508545,2,1.994,2.217,2.257129192352295,0.7944921851158142,,,,5.799068801378116,1.1085373163223267,,0.9901893734931946,12,,0.5231752014160156,0.01126635,0.1869014339664186
JOR,83,5,1,0.45579999685287476,0.3152596056461334,0.9090909361839294,0.394,-1.192,1.9773684740066528,,,,,5.166354671670205,2.6000308990478516,,0.6511628031730652,,0.7444446682929993,0.20961402893066405,0.081248016,0.15377482449224764
KAZ,121,3,1,0.8112999796867371,0.28802061080932617,0.9090909361839294,-0.606,0.424,3.023341417312622,,,,,4.765982238125765,1.6118474006652832,1.2431843280792236,0.6187590956687927,17,0.8999999761581421,0.485201416,0.21816526412963866,0.12441255000691669
KEN,40,8,1,-0.07886,0.2767319083213806,1,-0.498,0.536,1.1442981958389282,,4,3,3,2.9242940042537224,0.47486087679862976,0.6125792264938354,0.38604652881622314,9,0.5444443225860596,0.4983959579467773,0.098904858,0.16412860915126015
PRK,41,2,1,0.19789999723434448,0.3686543107032776,0.2857142984867096,-1.882,0.051,1.5229148864746094,,,,,3.570413072481041,4.021009445,,0.8221222758293152,18,,,,
KOR,42,2,1,1.9609999656677246,0.31491559743881226,2,1.709,2.423,3.118134021759033,0.7417882680892944,,,,6.580042582130417,2.6015396118164063,,0.8836820125579834,18,,0.41247642517089844,0.030834472,0.18468166108835754
KWT,171,5,1,0.27070000767707825,0.3359158933162689,1.6666666269302368,-0.317,-0.231,2.025071620941162,,,,,7.310712018,1.930388331413269,,0.77062881,18,,0,0.6680672454833985,0.011656709893632522
KGZ,122,3,1,0.22390000522136688,0.2861293852329254,0.9090909361839294,-0.279,-0.991,1.7848848104476929,,4,2,2,3.0269548246024205,1.4868906736373901,,0.5282174348831177,13,0.8222223520278931,0.25719892501831054,0.11439594268798828,0.1966486948563146
LAO,123,2,1,0.2660999894142151,0.2962779998779297,0.9090909361839294,-1.397,0.943,1.9773684740066528,,4,2,2,,3.0032541751861572,,0.7258417010307312,16,0.711111307,0.18571428298950196,0.092857141,0.13756433886272101
LVA,84,3,1,1.4739999771118164,0.32233330607414246,0.9090909361839294,2.293,2.067,2.383690834,,,,,4.959402570104785,1.2969411611557007,1.6946152448654175,0.614926815,18,,0.36452919006347656,4.394529387354851e-4,0.20637639527248852
LBN,44,5,1,0.024779999628663063,0.29938289523124695,0.14084507524967194,-0.406,0.275,0.7849208116531372,,,,,5.840065902064918,2.583704710006714,,0.6674418449401855,6,0.6555553674697876,0.28488697052001954,0.070384736,0.13234200068750354
LSO,85,8,1,0.080530003,0.29466721415519714,1.044776201248169,0.109,-0.038,0.7995009422302246,,3,2,3,3.1082603853946003,0.6787135601043701,,0.5421189069747925,11,0.6555560231208801,0.28078805923461914,0.5123540878295898,0.427049642
LBR,86,8,1,-0.513400018,0.2868332862854004,0.5882353186607361,-0.594,0.08,1.4118300676345825,0.4612542986869812,3,1,2,1.4607263162304949,0.3773292601108551,,0.5694574117660522,14,0.5111110210418701,,,0.1810598626104024
LBY,124,5,1,-1.351999998,0.33306950330734253,0.9090909361839294,-1.985,-0.937,-0.10988573,0.5403871536254883,,,,,,,0.6533128023147583,3,0.2222220003604889,,,
LTU,173,3,1,1.4880000352859497,0.3228135108947754,0.985915482,1.675,2.369,3.7190165519714355,,,,,5.085888714438524,2.366758108139038,1.4103041887283325,0.6621450781822205,18,,0.3128537940979004,0,0.1723910422972864
LUX,174,3,0,,,1.2068965435028076,3.155,1.353,3.7190165519714355,,,,,6.190829402287371,1.2938258647918701,,,,,0.537471924,0,0.25416358169322084
MKD,176,3,1,0.7168999910354614,0.313144714,1.25,-0.442,1.489,1.6341850757598877,,,,,3.893542085363767,2.140348196029663,,0.5616244673728943,16,0.8333333730697632,0.2680301475524902,0.04628633,0.1664158784752078
MDG,125,8,1,-0.638100028,0.27646321058273315,0.2857142984867096,-1.827,-0.249,1.0122469663619995,0.4660985767841339,2,1,2,1.233089858921115,0.6372680068016052,0.2936534881591797,0.7305750250816345,12,0.5888890027999878,0.23785274505615234,0.15320777893066406,0.10394489466594138
MWI,87,8,1,0.20149999856948853,0.26887211203575134,0.7142857313156128,0.075,-0.908,2.2074878215789795,,3,1,3,1.2343401994733203,0.3408085107803345,,0.7316892743110657,16,0.7555556297302246,0.48653133392333986,0.09527276,0.15160950497467945
MYS,177,2,1,0.8116999864578247,0.2869133949279785,0.7446808218955994,-0.159,0.436,2.1892316341400146,,,,,5.015402105636585,1.6888903379440308,,0.6763500571250916,17,0.7444443702697754,0.6138683700561524,0.022793624,0.142902059
MDV,88,7,0,,,1.4893616437911987,-1.401,1.152,2.6283507347106934,,2,2,3,,,,,,0.5555553436279297,,,
MLI,28,8,1,-0.165000007,0.28199100494384766,0.5882353186607361,0.236,1.187,0.7022873163223267,,4,1,2,2.9300691243622072,0.6450210213661194,,0.6963197588920593,6,0.6555556654930115,0.2757211494445801,0.14454638481140136,0.12661096644564168
MLT,178,5,0,,,1.1290322542190552,1.262,2.098,3.7190165519714355,,,,,4.791387599922324,1.7771239280700684,1.8187212944030762,,,,0.48611907958984374,0,0.26315739542906424
MRT,65,8,1,-0.164199993,0.3059087097644806,0.7070707082748413,-1.659,-0.221,0.9384757280349731,,3,2,3,3.522012965263666,1.816915512084961,,0.6560730338096619,13,0.6666670441627502,,,0.15653352181940902
MUS,180,8,1,0.9300000071525574,0.31403160095214844,0.985915482,1.052,1.903,1.043622612953186,,,,,2.678734293409009,1.1068059206008911,,0.55371809,18,0.9333336353302002,0.24235906600952148,0.017246873378753663,0.18664505769002018
MEX,3,4,1,0.6593000292778015,0.28732308745384216,1.4893616437911987,0.121,1.064,1.1056454181671143,0.7417882680892944,,,,3.826000585520853,1.323810338973999,1.3887032270431519,0.8799177408218384,8,0.922222376,0.5183565139770507,0.019108196496963503,0.13013690069423378
MDA,126,3,1,0.590399981,0.26564618945121765,0.9722222089767456,0.507,0.947,1.072846531867981,,5,3,2,1.8965481610307584,1.048972249031067,,0.5557440519332886,10,0.9555556774139404,0.20860063552856445,0.049891825,0.21722379510945392
MNG,89,2,1,0.6489999890327454,0.2704794108867645,1,0.689,0.176,2.1019232273101807,,4,3,2,3.5533101401865363,1.9222586154937744,,0.7815583944320679,17,0.7444443702697754,0.3386328506469727,0.092723827,0.149455948
MAR,90,5,1,0.7203999757766724,0.28795740008354187,0.9722222089767456,-0.327,-0.123,1.4050716161727905,0.6146756410598755,,,,4.556904218987583,2.0907535552978516,,0.8489939570426941,14,0.8111112713813782,0.37690837860107423,0.038645039,0.21339349618162068
MOZ,57,8,1,0.18940000236034393,0.2667357921600342,0.9090909361839294,-0.162,0.002,1.1564429998397827,,5,2,3,1.784483361,0.34654316306114197,,0.635140598,11,0.7222223877906799,0.41990669250488283,0.094867811,0.21722092347607527
MMR,10,2,1,-0.302599996,0.27319300174713135,0.36269429326057434,0.035,0.395,0.7279241681098938,0.4769863188266754,4,1,2,3.900957975250538,2.3742220401763916,0.8749582171440125,0.7323088049888611,6,0.5555553436279297,0.3742337417602539,0.10558015823364258,0.074759072
NAM,127,8,1,0.6550999879837036,0.2944015860557556,0.9333333373069763,1.442,1.28,1.9188761711120605,,,,,5.415458673454139,2.0236852169036865,,0.3281215727329254,16,0.47777801752090454,0.3894116973876953,0.35560714721679687,0.33056463668819197
NPL,58,7,1,-0.027389999,0.2888506054878235,1,-0.056,-0.977,0.9015800356864929,0.5849602222442627,3,2,2,2.563859152526074,1.9272812604904175,,0.9620231986045837,10,0.7222223877906799,0.24208383560180663,0.21027095794677733,0.16786039378678785
NLD,91,3,1,2.2130000591278076,0.3466637134552002,0.9589040875434875,2.005,2.321,3.7190165519714355,0.8200467824935913,,,,6.239739615880115,1.235129475593567,1.3823606967926025,0.98216182,,,0.4548168182373047,0,0.2389895906046961
